unrefactor1,873,0,0,0,13,4,0,873,0,0,0
unrefactor2,630,6,18,8,62,22,18,612,0,18,0
unrefactor3,734,0,0,0,7,1,0,734,0,0,0
unrefactor4,1,0,0,0,0,0,0,1,0,0,0
unrefactor5,204,0,0,0,11,0,0,873,0,0,0
unrefactor6,489,5,21,1,79,9,0,468,21,0,0
unrefactor7,1,0,0,0,1,1,0,28,1,0,0
unrefactor8,631,2,3,0,20,2,2,628,1,2,0
unrefactor9,540,2,2,0,4,0,2,538,0,0,0
unrefactor10,86,2,2,1,12,5,0,83,3,0,0
unrefactor11,873,0,0,0,34,8,0,872,1,0,0
unrefactor12,873,2,5,2,39,9,3,868,2,3,0
unrefactor13,140,1,4,0,12,4,0,136,4,0,0
unrefactor14,873,1,1,1,10,9,0,872,1,0,0
unrefactor15,873,4,9,3,59,24,9,864,0,9,0
unrefactor16,26,0,0,0,1,0,0,166,9,0,0
unrefactor17,181,1,1,0,4,0,0,186,1,0,0
unrefactor18,699,4,12,1,65,5,12,687,0,0,0
unrefactor19,873,1,3,0,5,0,3,870,0,3,0
unrefactor20,873,1,3,1,45,8,2,869,2,2,0
unrefactor21,1,0,0,0,1,1,0,208,17,0,0
unrefactor22,741,0,0,0,25,1,0,870,3,0,0
unrefactor23,660,4,18,10,30,17,18,642,0,18,0
unrefactor24,7,0,0,0,0,0,0,7,0,0,0
unrefactor25,102,1,2,1,4,1,2,599,0,4,0
unrefactor26,1,0,0,0,0,0,0,9,0,0,0
unrefactor27,83,1,1,0,6,2,1,82,0,1,0
unrefactor28,260,0,0,0,5,0,0,278,0,0,0
unrefactor29,873,0,0,0,47,20,0,872,1,0,0
unrefactor30,718,1,2,0,31,4,2,716,0,2,0
unrefactor31,873,2,4,2,18,2,0,869,4,0,0
unrefactor32,873,3,5,2,55,10,4,867,1,1,4
unrefactor33,873,1,1,0,6,0,1,872,0,1,0
unrefactor34,873,2,3,1,43,8,1,868,4,1,0
unrefactor35,56,1,2,0,6,1,2,54,0,0,2
unrefactor36,8,1,1,0,3,1,1,6,1,1,0
unrefactor37,207,0,0,0,24,3,0,207,0,0,0
unrefactor38,873,1,1,1,35,24,1,872,0,1,0
unrefactor39,873,1,2,2,12,3,2,871,0,0,2
unrefactor40,6,1,2,2,4,2,1,4,1,1,0
unrefactor41,792,1,3,0,19,6,3,789,0,3,0
unrefactor42,443,1,1,0,14,0,1,442,0,1,0
unrefactor43,873,2,3,1,14,3,1,865,7,1,0
unrefactor44,32,0,0,0,0,0,0,32,0,0,0
unrefactor45,555,3,5,1,35,12,3,550,3,3,0
unrefactor46,334,1,1,0,28,6,1,333,0,1,0
unrefactor47,873,0,0,0,35,2,0,873,0,0,0
unrefactor48,873,1,1,0,4,2,0,871,2,0,0
unrefactor49,453,0,0,0,41,9,0,453,0,0,0
unrefactor50,177,3,3,0,29,9,0,211,3,0,0
unrefactor51,96,0,0,0,7,0,0,96,0,0,0
unrefactor52,8,0,0,0,0,0,0,8,0,0,0
unrefactor53,873,0,0,0,3,0,0,873,0,0,0
unrefactor54,257,2,5,1,25,7,5,252,0,5,0
unrefactor55,873,0,0,0,19,2,0,872,1,0,0
unrefactor56,180,3,9,4,22,7,9,171,0,0,9
unrefactor57,873,0,0,0,34,4,0,873,0,0,0
unrefactor58,873,4,22,3,58,15,2,850,21,2,0
unrefactor59,68,0,0,0,0,0,0,68,0,0,0
unrefactor60,309,1,2,0,16,5,2,307,0,0,2
unrefactor61,873,2,3,1,21,6,3,870,0,3,0
unrefactor62,42,1,3,0,16,1,3,39,0,0,3
unrefactor63,433,1,2,1,7,3,2,431,0,2,0
unrefactor64,873,1,1,1,11,10,0,872,1,0,0
unrefactor65,14,0,0,0,0,0,0,14,0,0,0
unrefactor66,873,3,4,0,46,5,4,869,0,4,0
unrefactor67,422,2,2,0,16,5,2,420,0,2,0
unrefactor68,873,0,0,0,19,13,0,873,0,0,0
unrefactor69,729,7,32,8,86,23,32,697,0,0,32
unrefactor70,556,1,1,0,23,5,1,555,0,0,1
unrefactor71,498,3,3,0,59,11,3,495,0,3,0
