refactor1,false,8,1.0
refactor2,true,3,1.0
refactor3,false,4,1.0
refactor4,false,3,1.0
refactor5,false,5,1.0
refactor6,false,3,1.0
refactor7,false,7,1.0
refactor8,false,10,1.0
refactor9,true,4,1.0
refactor10,false,3,1.0
refactor11,false,10,1.0
refactor12,true,4,1.0
refactor13,true,5,1.0
refactor14,false,9,1.0
refactor15,false,8,1.0
refactor16,false,9,1.0
refactor17,false,7,1.0
refactor18,false,5,1.0
refactor19,false,0,1.0
refactor20,false,4,1.0
refactor21,false,5,1.0
refactor22,false,2,1.0
refactor23,false,3,1.0
refactor24,false,3,1.0
refactor25,false,12,1.0
refactor26,false,12,1.0
refactor27,false,2,1.0
refactor28,false,2,1.0
refactor29,false,2,1.0
refactor30,false,2,1.0
refactor31,false,1,1.0
refactor32,false,1,1.0
refactor33,false,1,1.0
refactor34,false,1,1.0
refactor35,false,1,1.0
refactor36,false,1,1.0
refactor37,false,1,1.0
refactor38,false,1,1.0
refactor39,false,1,1.0
refactor40,false,3,1.0
refactor41,false,3,1.0
refactor42,true,6,1.0
refactor43,true,6,1.0
refactor44,true,6,1.0
refactor45,true,6,1.0
refactor46,true,6,1.0
refactor47,false,3,1.0
refactor48,false,2,1.0
refactor49,true,2,1.0
refactor50,true,2,1.0
refactor51,true,1,1.0
refactor52,true,0,1.0
refactor53,false,6,1.0
refactor54,false,12,1.0
refactor55,false,12,1.0
refactor56,false,9,1.0
refactor57,false,8,1.0
refactor58,false,6,1.0
refactor59,false,4,1.0
refactor60,true,4,1.0
refactor61,false,2,1.0
refactor62,false,4,1.0
refactor63,false,8,1.0
refactor64,false,15,1.0
refactor65,false,5,1.0
refactor66,false,8,1.0
refactor67,false,8,1.0
refactor68,false,5,1.0
refactor69,false,5,1.0
refactor70,false,17,1.0
refactor71,false,17,1.0
refactor72,false,2,1.0
refactor73,false,2,1.0
refactor74,false,3,1.0
refactor75,false,3,1.0
refactor76,false,14,1.0
refactor77,false,18,1.0
refactor78,false,18,1.0
refactor79,false,18,1.0
refactor80,false,17,1.0
refactor81,false,17,1.0
refactor82,false,17,1.0
refactor83,false,14,1.0
refactor84,false,14,1.0
refactor85,false,5,1.0
refactor86,false,4,1.0
refactor87,false,3,1.0
refactor88,false,2,1.0
refactor89,false,3,1.0
refactor90,false,3,1.0
refactor91,false,7,1.0
refactor92,false,7,1.0
refactor93,false,0,1.0
refactor94,false,5,1.0
refactor95,false,5,1.0
refactor96,true,9,1.0
refactor97,false,5,1.0
refactor98,false,5,1.0
refactor99,true,4,1.0
refactor100,true,4,1.0
refactor101,false,1,1.0
refactor102,false,1,1.0
refactor103,false,3,1.0
refactor104,false,4,1.0
refactor105,false,4,1.0
refactor106,false,5,1.0
