@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,false,0,84,1.0,84,498,true,19,0.1206896551724138,0.0,false,true,true,true,false,8,1.0,0.10000894534394847,0.017857142857142856,9.39261114589856E-4,4.91993917166115E-4,0.055863672958225245,0.01431255031755971,9.39261114589856E-4,0.09906968422935862,0.0,9.39261114589856E-4,0.0,6,0,0,3,0,refactored
2,4,true,false,0,56,1.0,56,453,true,11,0.13333333333333333,0.044444444444444446,false,true,true,false,true,3,1.0,0.10000894534394847,0.044642857142857144,0.002504696305572949,5.367206369084891E-4,0.05344843009213704,0.014133643438590214,0.002504696305572949,0.09750424903837553,0.0,0.002504696305572949,0.0,47,0,0,13,0,refactored
4,0,true,false,0,35,1.0,35,255,true,8,0.32142857142857145,0.0,false,true,true,true,false,4,1.0,0.0016996153502102157,0.0,0.0,0.0,7.156275158779856E-4,2.2363359871187046E-4,0.0,0.0016996153502102157,0.0,0.0,0.0,69,11,4,19,2,refactored
4,0,true,false,0,35,0.2571428571428571,9,95,true,2,0.42857142857142855,0.0,false,true,true,true,false,3,1.0,0.0016996153502102157,0.0,0.0,0.0,7.156275158779856E-4,2.2363359871187046E-4,0.0,0.0016996153502102157,0.0,0.0,0.0,13,8,1,1,0,refactored
2,0,true,true,0,875,0.017142857142857144,15,139,true,8,0.06666666666666667,0.0,true,true,true,true,false,5,1.0,0.10000894534394847,0.026785714285714284,0.0018337955094373378,6.709007961356114E-4,0.044950353341085963,0.010287145540746041,0.0018337955094373378,0.09817514983451113,0.0,0.0018337955094373378,0.0,11,0,1,4,0,refactored
2,0,true,true,0,875,0.011428571428571429,10,107,true,6,0.1,0.0,true,true,true,true,false,3,1.0,0.10000894534394847,0.026785714285714284,0.0018337955094373378,6.709007961356114E-4,0.044950353341085963,0.010287145540746041,0.0018337955094373378,0.09817514983451113,0.0,0.0018337955094373378,0.0,0,0,0,0,0,refactored
21,0,true,true,0,444,0.02927927927927928,13,88,true,7,0.0,0.0,true,true,true,true,false,7,1.0,0.10000894534394847,0.017857142857142856,8.050809553627337E-4,2.2363359871187046E-4,0.04481617318185884,0.010063511942034172,8.050809553627337E-4,0.09920386438858574,0.0,0.0,0.0,7,0,0,6,0,refactored
2,0,true,true,0,104,0.125,13,135,true,4,0.16666666666666666,0.08333333333333333,true,false,false,false,false,10,1.0,0.10000894534394847,0.017857142857142856,3.1308703819661864E-4,1.3418015922712228E-4,0.04902048483764201,0.010823866177654531,1.789068789694964E-4,0.09951695142678237,3.1308703819661864E-4,1.789068789694964E-4,0.0,7,0,0,5,0,refactored
2,0,true,false,0,70,1.0,70,303,true,8,0.1935483870967742,0.0,false,false,false,false,true,4,1.0,0.10000894534394847,0.026785714285714284,5.814473566508633E-4,0.0,0.03850970569818409,0.010466052419715538,4.91993917166115E-4,0.09933804454781286,1.789068789694964E-4,4.91993917166115E-4,0.0,22,0,2,2,0,refactored
2,11,true,false,0,21,1.0,21,146,true,3,0.23076923076923078,0.0,false,true,true,false,false,3,1.0,0.10000894534394847,0.044642857142857144,0.0016101619107254674,5.367206369084891E-4,0.03667591018874676,0.009705698184095179,0.0016101619107254674,0.098398783433223,0.0,0.0016101619107254674,0.0,2,0,0,2,0,refactored
2,0,true,false,0,15,1.0,15,84,true,10,0.0,0.0,false,false,false,false,false,10,1.0,0.10000894534394847,0.03571428571428571,6.261740763932373E-4,8.94534394847482E-5,0.04110385544324179,0.011226406655335898,3.1308703819661864E-4,0.0992933178280705,4.0254047768136685E-4,3.1308703819661864E-4,0.0,7,0,0,1,0,refactored
2,0,true,false,0,70,0.38571428571428573,27,157,false,6,0.15,0.0,false,false,false,false,true,4,1.0,0.10000894534394847,0.026785714285714284,5.814473566508633E-4,0.0,0.03850970569818409,0.010466052419715538,4.91993917166115E-4,0.09933804454781286,1.789068789694964E-4,4.91993917166115E-4,0.0,2,0,0,0,0,refactored
6,0,true,true,0,270,0.05555555555555555,15,184,true,4,0.0,0.0,true,true,true,true,true,5,1.0,0.01060023257894266,0.017857142857142856,6.709007961356114E-4,8.94534394847482E-5,0.004741032292691654,0.0011181679935593524,6.709007961356114E-4,0.00992933178280705,0.0,0.0,0.0,76,23,0,24,1,refactored
3,34,true,true,0,157,0.14012738853503184,22,125,true,2,0.07692307692307693,0.0,true,true,true,false,false,9,1.0,0.10000894534394847,0.03571428571428571,5.814473566508633E-4,1.3418015922712228E-4,0.03519992843724841,0.009124250827444315,5.814473566508633E-4,0.09942749798729761,0.0,0.0,5.814473566508633E-4,14,6,1,8,0,refactored
4,0,true,false,0,29,1.0,29,207,true,6,0.13636363636363635,0.0,false,true,true,true,false,8,1.0,0.10000894534394847,0.017857142857142856,8.94534394847482E-5,4.47267197423741E-5,0.035468288755702654,0.00916897754718669,8.94534394847482E-5,0.09991949190446373,0.0,0.0,0.0,42,31,1,13,1,refactored
4,0,true,false,0,30,1.0,30,221,true,6,0.13043478260869565,0.0,false,true,true,true,false,9,1.0,0.10000894534394847,0.017857142857142856,8.94534394847482E-5,4.47267197423741E-5,0.035468288755702654,0.00916897754718669,8.94534394847482E-5,0.09991949190446373,0.0,0.0,0.0,42,31,1,13,1,refactored
2,6,true,false,0,53,1.0,53,354,true,10,0.24390243902439024,0.024390243902439025,false,true,true,false,false,7,1.0,0.10000894534394847,0.017857142857142856,8.94534394847482E-5,4.47267197423741E-5,0.035468288755702654,0.00916897754718669,8.94534394847482E-5,0.09991949190446373,0.0,8.94534394847482E-5,0.0,112,0,4,28,1,refactored
4,0,true,true,0,33,0.2727272727272727,9,113,true,2,0.1111111111111111,0.0,true,true,true,true,false,5,1.0,0.10000894534394847,0.017857142857142856,8.94534394847482E-5,4.47267197423741E-5,0.035468288755702654,0.00916897754718669,8.94534394847482E-5,0.09991949190446373,0.0,0.0,0.0,17,17,0,2,0,refactored
2,15,true,false,0,11,1.0,11,111,true,4,0.1111111111111111,0.0,false,true,true,false,false,0,1.0,0.10000894534394847,0.026785714285714284,0.0013418015922712228,3.578137579389928E-4,0.03783880490204848,0.01060023257894266,0.0013418015922712228,0.09866714375167725,0.0,0.0013418015922712228,0.0,6,0,0,4,0,refactored
2,0,true,true,0,191,0.09424083769633508,18,151,true,4,0.0,0.0,true,true,true,true,false,4,1.0,0.04651578853206906,0.03571428571428571,2.6836031845424457E-4,1.3418015922712228E-4,0.017667054298237766,0.004517398693979784,2.6836031845424457E-4,0.046247428213614813,0.0,2.6836031845424457E-4,0.0,0,0,0,0,0,refactored
2,0,true,true,0,191,0.06806282722513089,13,114,true,3,0.0,0.0,true,true,true,true,false,5,1.0,0.04651578853206906,0.03571428571428571,2.6836031845424457E-4,1.3418015922712228E-4,0.017667054298237766,0.004517398693979784,2.6836031845424457E-4,0.046247428213614813,0.0,2.6836031845424457E-4,0.0,0,0,0,0,0,refactored
2,0,true,false,0,30,0.7,21,152,true,11,0.1,0.0,false,true,true,true,false,2,1.0,0.10000894534394847,0.03571428571428571,3.578137579389928E-4,1.789068789694964E-4,0.04356382502907237,0.01279184184631899,3.578137579389928E-4,0.09965113158600948,0.0,3.578137579389928E-4,0.0,7,0,0,2,0,refactored
2,0,true,true,0,62,0.12903225806451613,8,90,true,3,0.3333333333333333,0.0,true,true,true,true,false,3,1.0,0.10000894534394847,0.026785714285714284,6.261740763932373E-4,4.47267197423741E-5,0.04342964486984525,0.010510779139457912,6.261740763932373E-4,0.09938277126755524,0.0,6.261740763932373E-4,0.0,5,0,0,4,0,refactored
2,0,true,true,0,114,0.08771929824561403,10,93,true,3,0.0,0.0,true,true,true,true,false,3,1.0,0.10000894534394847,0.026785714285714284,6.261740763932373E-4,4.47267197423741E-5,0.04342964486984525,0.010510779139457912,6.261740763932373E-4,0.09938277126755524,0.0,6.261740763932373E-4,0.0,4,0,0,3,0,refactored
4,32,true,false,0,14,1.0,14,103,true,4,0.21428571428571427,0.0,false,true,true,false,false,12,1.0,0.10000894534394847,0.044642857142857144,6.261740763932373E-4,1.789068789694964E-4,0.039448966812773954,0.00992933178280705,6.261740763932373E-4,0.09938277126755524,0.0,0.0,0.0,26,20,0,8,1,refactored
4,32,true,false,0,14,1.0,14,103,true,4,0.21428571428571427,0.0,false,true,true,false,false,12,1.0,0.10000894534394847,0.044642857142857144,6.261740763932373E-4,1.789068789694964E-4,0.039448966812773954,0.00992933178280705,6.261740763932373E-4,0.09938277126755524,0.0,0.0,0.0,26,20,0,8,1,refactored
2,5,false,true,0,38,0.39473684210526316,15,129,true,3,0.4,0.0,true,false,false,false,false,2,1.0,0.10000894534394847,0.03571428571428571,8.498076751051078E-4,5.367206369084891E-4,0.04611324805438769,0.010152965381518919,5.814473566508633E-4,0.09844351015296539,9.8398783433223E-4,5.814473566508633E-4,0.0,12,0,0,7,0,refactored
