refactor1,42,0,2,14,1
refactor2,4,0,0,4,0
refactor3,32,26,3,7,1
refactor4,1,1,0,0,0
refactor5,37,0,3,13,1
refactor6,16,0,0,7,0
refactor7,1,0,0,0,0
refactor8,10,0,0,4,0
refactor9,6,0,1,4,0
refactor10,6,0,0,4,0
refactor11,17,0,2,3,0
refactor12,17,0,2,3,0
refactor13,19,0,0,7,0
refactor14,28,0,3,5,0
refactor15,14,0,0,4,0
refactor16,81,34,8,15,1
refactor17,148,109,16,30,4
refactor18,57,16,5,8,1
refactor19,93,69,10,21,5
refactor20,23,8,0,7,0
refactor21,107,0,6,23,0
refactor22,83,0,4,16,0
refactor23,60,17,4,13,2
refactor24,0,0,0,0,0
refactor25,62,0,8,12,2
refactor26,39,26,4,6,0
refactor27,39,26,4,6,0
refactor28,28,0,2,8,1
refactor29,3,0,1,1,0
refactor30,2,0,1,0,0
refactor31,0,0,0,0,0
refactor32,0,0,0,0,0
refactor33,0,0,0,0,0
refactor34,1,0,0,0,0
refactor35,1,0,0,0,0
refactor36,0,0,0,0,0
refactor37,42,0,4,2,0
refactor38,42,0,4,2,0
refactor39,42,0,4,2,0
refactor40,0,0,0,0,0
refactor41,33,0,6,5,0
refactor42,27,6,2,6,0
refactor43,35,35,4,6,0
