refactor1,44,1,2,2,4,2,2,42,0,2,0
refactor2,4,1,1,1,1,1,1,3,0,1,0
refactor3,4,1,1,1,1,1,1,3,0,1,0
refactor4,4,1,1,1,1,1,1,3,0,1,0
refactor5,36,1,4,3,9,4,4,32,0,0,0
refactor6,1774,6,20,4,234,41,14,1747,13,14,0
refactor7,1774,5,15,3,234,41,5,1746,17,6,5
refactor8,2170,10,72,25,260,72,72,2098,0,72,0
refactor9,2170,10,72,25,260,72,72,2098,0,72,0
refactor10,2170,10,72,25,260,72,72,2098,0,72,0
refactor11,2207,6,24,4,97,20,24,2183,0,24,0
refactor12,2196,8,20,11,348,157,20,2176,0,20,0
refactor13,2196,8,20,11,348,157,20,2176,0,20,0
refactor14,2196,8,20,11,348,157,20,2176,0,20,0
refactor15,2196,8,20,11,348,157,20,2176,0,20,0
refactor16,2196,8,20,11,348,157,20,2176,0,20,0
refactor17,2196,8,20,11,348,157,20,2176,0,20,0
refactor18,1020,1,2,1,66,21,2,1018,0,2,0
refactor19,2207,7,15,7,76,18,15,2192,0,15,0
refactor20,2207,7,15,7,76,18,15,2192,0,15,0
refactor21,2207,7,15,7,76,18,15,2192,0,15,0
refactor22,2207,6,9,4,234,69,7,2191,9,7,0
refactor23,2207,7,30,9,431,180,6,2170,31,6,0
refactor24,2207,10,146,61,434,183,146,2061,0,146,0
refactor25,2207,7,85,31,251,96,85,2122,0,0,85
refactor26,37,1,1,1,9,5,1,36,0,1,0
refactor27,37,1,1,1,9,5,1,36,0,1,0
refactor28,37,1,1,1,9,5,1,36,0,1,0
refactor29,37,1,1,1,9,5,1,36,0,1,0
refactor30,2207,5,18,11,323,110,18,2189,0,18,0
refactor31,2207,5,18,11,323,110,18,2189,0,18,0
refactor32,1495,2,2,1,99,33,2,1493,0,0,2
refactor33,123,2,2,1,12,5,2,121,0,0,2
refactor34,137,1,1,1,38,13,1,135,1,0,0
refactor35,137,1,1,1,38,13,1,136,0,0,1
refactor36,137,1,1,1,38,13,1,136,0,0,1
refactor37,152,1,1,1,13,3,1,151,0,0,0
refactor38,152,1,1,1,13,3,1,151,0,0,0
refactor39,152,1,1,1,13,3,1,151,0,1,0
refactor40,152,1,1,1,13,3,1,151,0,1,0
refactor41,152,1,1,1,13,3,1,151,0,1,0
refactor42,152,1,1,1,13,3,1,151,0,0,0
refactor43,152,1,1,1,13,3,1,151,0,0,0
refactor44,152,1,1,1,13,3,1,151,0,0,0
refactor45,152,1,1,1,13,3,1,151,0,0,0
refactor46,152,1,1,1,13,3,1,151,0,0,0
refactor47,152,1,1,1,13,3,1,151,0,0,0
refactor48,405,2,3,2,92,31,3,402,0,3,0
refactor49,405,2,3,2,92,31,3,402,0,3,0
refactor50,523,1,5,1,126,34,5,518,0,5,0
refactor51,657,4,10,2,167,44,10,647,0,10,0
refactor52,657,4,33,12,167,44,33,624,0,33,0
refactor53,764,3,8,3,163,32,5,755,4,5,0
refactor54,814,4,14,7,209,54,5,797,12,5,0
refactor55,39,1,1,1,5,4,1,38,0,0,0
refactor56,39,1,1,1,5,4,1,38,0,1,0
refactor57,999,1,6,1,165,25,1,993,5,1,0
refactor58,1561,1,1,1,425,73,1,1560,0,1,0
refactor59,1428,3,5,1,355,99,5,1423,0,5,0
refactor60,1428,3,5,1,355,99,5,1423,0,5,0
refactor61,1667,4,15,4,328,81,15,1652,0,15,0
refactor62,536,1,1,1,92,23,1,535,0,1,0
refactor63,286,2,2,2,117,19,2,284,0,2,0
refactor64,781,2,5,3,185,54,5,775,1,5,0
refactor65,781,2,5,3,185,54,5,775,1,5,0
refactor66,781,2,5,3,185,54,5,775,1,5,0
refactor67,781,2,5,3,185,54,5,775,1,5,0
refactor68,781,2,5,3,185,54,5,775,1,5,0
refactor69,781,2,5,3,185,54,5,775,1,5,0
refactor70,673,1,4,2,146,42,4,669,0,4,0
refactor71,2207,5,14,10,391,114,14,2193,0,14,0
refactor72,1169,10,23,6,343,87,23,1146,0,0,23
refactor73,1169,10,23,6,343,87,23,1146,0,23,0
