unrefactor1,1,1,0,0,0,1,0
unrefactor2,38,0,38,0,0,4,0
unrefactor3,3,3,0,0,2,0,0
unrefactor4,7,7,0,0,0,5,0
unrefactor5,25,4,21,0,3,2,0
unrefactor6,5,1,4,0,1,0,0
unrefactor7,18,5,13,0,1,3,0
unrefactor8,30,12,18,0,1,4,0
unrefactor9,7,5,2,0,0,5,0
unrefactor10,2,2,0,0,0,2,0
unrefactor11,5,1,4,0,0,2,0
unrefactor12,3,1,2,0,0,1,0
unrefactor13,10,6,4,0,2,1,0
unrefactor14,10,4,6,0,0,5,0
unrefactor15,0,0,0,0,0,0,0
unrefactor16,3,1,2,1,0,0,0
unrefactor17,6,6,0,0,0,6,0
unrefactor18,71,9,62,35,6,15,1
unrefactor19,5,1,4,0,0,2,0
unrefactor20,6,4,2,0,2,1,0
unrefactor21,1,1,0,0,0,0,0
unrefactor22,10,4,6,0,1,1,0
unrefactor23,20,5,15,0,1,7,2
unrefactor24,32,4,28,0,2,8,0
unrefactor25,0,0,0,0,0,0,0
unrefactor26,30,2,28,0,0,6,0
unrefactor27,2,0,2,0,0,0,0
unrefactor28,46,4,42,0,8,7,0
unrefactor29,64,7,57,0,6,21,0
unrefactor30,10,2,8,0,0,2,0
unrefactor31,19,4,15,0,2,3,0
unrefactor32,26,0,26,0,0,2,0
unrefactor33,1,1,0,0,0,0,0
unrefactor34,0,0,0,0,0,0,0
unrefactor35,22,2,20,0,3,3,0
unrefactor36,16,5,11,16,1,4,0
unrefactor37,17,2,15,0,3,3,0
unrefactor38,0,0,0,0,0,0,0
unrefactor39,31,6,25,0,0,17,0
unrefactor40,22,5,17,7,2,6,0
unrefactor41,53,11,44,32,8,4,0
unrefactor42,47,6,41,0,1,18,3
unrefactor43,16,15,1,8,0,0,0
unrefactor44,6,6,0,0,1,1,0
unrefactor45,5,5,0,0,1,1,0
unrefactor46,46,5,41,0,6,11,2
unrefactor47,95,6,89,0,10,12,0
unrefactor48,15,4,11,0,3,3,0
unrefactor49,17,1,16,0,1,2,0
unrefactor50,53,1,52,0,6,8,1
unrefactor51,2,2,0,0,1,1,0
