@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,false,0,84,1.0,84,498,true,19,0.1206896551724138,0.0,false,true,true,true,false,8,1.0,0.10000894534394847,0.017857142857142856,9.39261114589856E-4,4.91993917166115E-4,0.055863672958225245,0.01431255031755971,9.39261114589856E-4,0.09906968422935862,0.0,9.39261114589856E-4,0.0,6,0.0,0.0,0.5,0.0,refactored
2,4,true,false,0,56,1.0,56,453,true,11,0.13333333333333333,0.044444444444444446,false,true,true,false,true,3,1.0,0.10000894534394847,0.044642857142857144,0.002504696305572949,5.367206369084891E-4,0.05344843009213704,0.014133643438590214,0.002504696305572949,0.09750424903837553,0.0,0.002504696305572949,0.0,47,0.0,0.0,0.2765957446808511,0.0,refactored
4,0,true,false,0,35,1.0,35,255,true,8,0.32142857142857145,0.0,false,true,true,true,false,4,1.0,0.0016996153502102157,0.0,0.0,0.0,7.156275158779856E-4,2.2363359871187046E-4,0.0,0.0016996153502102157,0.0,0.0,0.0,69,0.15942028985507245,0.057971014492753624,0.2753623188405797,0.028985507246376812,refactored
4,0,true,false,0,35,0.2571428571428571,9,95,true,2,0.42857142857142855,0.0,false,true,true,true,false,3,1.0,0.0016996153502102157,0.0,0.0,0.0,7.156275158779856E-4,2.2363359871187046E-4,0.0,0.0016996153502102157,0.0,0.0,0.0,13,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.0,refactored
2,0,true,true,0,875,0.017142857142857144,15,139,true,8,0.06666666666666667,0.0,true,true,true,true,false,5,1.0,0.10000894534394847,0.026785714285714284,0.0018337955094373378,6.709007961356114E-4,0.044950353341085963,0.010287145540746041,0.0018337955094373378,0.09817514983451113,0.0,0.0018337955094373378,0.0,11,0.0,0.09090909090909091,0.36363636363636365,0.0,refactored
2,0,true,true,0,875,0.011428571428571429,10,107,true,6,0.1,0.0,true,true,true,true,false,3,1.0,0.10000894534394847,0.026785714285714284,0.0018337955094373378,6.709007961356114E-4,0.044950353341085963,0.010287145540746041,0.0018337955094373378,0.09817514983451113,0.0,0.0018337955094373378,0.0,0,-1,-1,-1,-1,refactored
21,0,true,true,0,444,0.02927927927927928,13,88,true,7,0.0,0.0,true,true,true,true,false,7,1.0,0.10000894534394847,0.017857142857142856,8.050809553627337E-4,2.2363359871187046E-4,0.04481617318185884,0.010063511942034172,8.050809553627337E-4,0.09920386438858574,0.0,0.0,0.0,7,0.0,0.0,0.8571428571428571,0.0,refactored
2,0,true,true,0,104,0.125,13,135,true,4,0.16666666666666666,0.08333333333333333,true,false,false,false,false,10,1.0,0.10000894534394847,0.017857142857142856,3.1308703819661864E-4,1.3418015922712228E-4,0.04902048483764201,0.010823866177654531,1.789068789694964E-4,0.09951695142678237,3.1308703819661864E-4,1.789068789694964E-4,0.0,7,0.0,0.0,0.7142857142857143,0.0,refactored
2,0,false,false,0,70,1.0,70,303,true,8,0.1935483870967742,0.0,false,false,false,false,true,4,1.0,0.10000894534394847,0.026785714285714284,5.814473566508633E-4,0.0,0.03850970569818409,0.010466052419715538,4.91993917166115E-4,0.09933804454781286,1.789068789694964E-4,4.91993917166115E-4,0.0,22,0.0,0.09090909090909091,0.09090909090909091,0.0,refactored
2,11,true,false,0,21,1.0,21,146,true,3,0.23076923076923078,0.0,false,true,true,false,false,3,1.0,0.10000894534394847,0.044642857142857144,0.0016101619107254674,5.367206369084891E-4,0.03667591018874676,0.009705698184095179,0.0016101619107254674,0.098398783433223,0.0,0.0016101619107254674,0.0,2,0.0,0.0,1.0,0.0,refactored
