refactor1,4,0,3,1,0
refactor2,4,0,3,1,0
refactor3,4,0,3,1,0
refactor4,51,19,5,7,0
refactor5,2,0,0,2,0
refactor6,3,0,0,0,0
refactor7,3,0,0,3,0
refactor8,4,0,1,1,0
refactor9,13,0,0,6,1
refactor10,1,0,0,1,0
refactor11,119,78,13,36,4
refactor12,49,27,0,17,0
refactor13,26,0,0,13,0
refactor14,12,0,0,2,0
refactor15,0,0,0,0,0
refactor16,16,0,1,4,1
refactor17,16,0,1,4,1
refactor18,16,0,1,4,1
refactor19,16,0,1,4,1
refactor20,41,36,1,16,0
refactor21,25,14,0,6,0
refactor22,4,0,0,1,0
refactor23,72,0,0,27,1
refactor24,33,21,1,10,2
refactor25,0,0,0,0,0
refactor26,0,0,0,0,0
refactor27,0,0,0,0,0
refactor28,10,0,1,2,0
refactor29,10,0,1,2,0
refactor30,10,0,1,2,0
refactor31,10,0,1,2,0
refactor32,14,0,1,2,0
refactor33,5,0,1,1,0
refactor34,63,0,9,16,2
refactor35,43,27,5,13,0
refactor36,20,0,3,6,1
refactor37,18,0,2,6,1
refactor38,19,0,0,9,1
refactor39,0,0,0,0,0
refactor40,60,0,7,10,1
refactor41,12,0,2,1,0
refactor42,7,0,0,1,0
refactor43,14,0,1,5,0
refactor44,0,0,0,0,0
refactor45,3,0,0,3,0
refactor46,3,0,0,3,0
refactor47,11,0,0,3,0
refactor48,6,0,0,2,0
refactor49,126,74,7,22,0
refactor50,20,0,0,6,0
refactor51,112,77,7,22,0
refactor52,127,79,7,22,0
refactor53,14,0,0,1,0
refactor54,0,0,0,0,0
refactor55,10,0,3,2,0
refactor56,2,0,0,1,0
refactor57,14,0,1,4,0
refactor58,39,15,4,8,0
refactor59,52,0,0,19,1
refactor60,33,20,3,10,1
refactor61,61,0,5,11,1
refactor62,3,0,0,1,0
refactor63,36,0,2,6,1
refactor64,130,0,3,20,0
refactor65,29,21,0,12,0
