@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute cloneEval {refactored, unrefactored}

@data
4,91,true,true,109,621,0.04508856682769726,28,194,true,2,0.05263157894736842,0.0,true,true,true,false,false,5,1.0,refactored
6,64,true,true,109,821,0.025578562728380026,21,205,true,2,0.05263157894736842,0.0,true,true,true,false,false,8,1.0,refactored
4,36,true,true,109,833,0.03601440576230492,30,313,true,4,0.037037037037037035,0.037037037037037035,true,true,true,false,false,9,1.0,refactored
2,13,true,true,109,800,0.1575,126,1154,true,18,0.03669724770642202,0.045871559633027525,true,true,true,false,false,5,1.0,refactored
2,13,true,true,109,800,0.1575,126,1154,true,18,0.03669724770642202,0.045871559633027525,true,true,true,false,false,5,1.0,refactored
4,75,true,false,109,821,1.0,821,6469,true,226,0.04594594594594595,0.00945945945945946,false,true,true,false,false,17,1.0,refactored
4,75,true,false,109,833,1.0,833,6614,true,229,0.048582995951417005,0.017543859649122806,false,true,true,false,false,17,1.0,refactored
6,163,true,true,109,236,0.07203389830508475,17,133,true,2,0.07692307692307693,0.0,true,true,true,false,false,2,1.0,refactored
6,163,true,true,109,236,0.07203389830508475,17,133,true,2,0.07692307692307693,0.0,true,true,true,false,false,2,1.0,refactored
3,39,true,true,109,236,0.08898305084745763,21,176,true,2,0.0625,0.0,true,true,true,false,false,3,1.0,refactored
3,39,true,true,109,236,0.08898305084745763,21,176,true,2,0.0625,0.0,true,true,true,false,false,3,1.0,refactored
6,223,true,true,109,833,0.14285714285714285,119,863,true,47,0.036036036036036036,0.0,true,true,true,false,false,14,1.0,refactored
6,223,true,true,109,833,0.4177671068427371,348,2576,true,136,0.04892966360856269,0.0030581039755351682,true,true,true,false,false,18,1.0,refactored
6,223,true,true,109,833,0.4177671068427371,348,2576,true,136,0.04892966360856269,0.0030581039755351682,true,true,true,false,false,18,1.0,refactored
4,75,true,true,109,833,0.4177671068427371,348,2576,true,136,0.04892966360856269,0.0030581039755351682,true,true,true,false,false,18,1.0,refactored
