refactor1,6,0,0,3,0
refactor2,47,0,0,13,0
refactor3,69,11,4,19,2
refactor4,13,8,1,1,0
refactor5,11,0,1,4,0
refactor6,0,0,0,0,0
refactor7,7,0,0,6,0
refactor8,7,0,0,5,0
refactor9,22,0,2,2,0
refactor10,2,0,0,2,0
refactor11,7,0,0,1,0
refactor12,2,0,0,0,0
refactor13,76,23,0,24,1
refactor14,14,6,1,8,0
refactor15,24,0,1,12,1
refactor16,24,0,1,12,1
refactor17,112,0,4,28,1
refactor18,2,0,0,2,0
refactor19,6,0,0,4,0
refactor20,0,0,0,0,0
refactor21,0,0,0,0,0
refactor22,7,0,0,2,0
refactor23,5,0,0,4,0
refactor24,4,0,0,3,0
refactor25,18,11,0,6,1
refactor26,18,11,0,6,1
refactor27,12,0,0,7,0
refactor28,12,0,0,7,0
refactor29,8,0,0,5,0
refactor30,8,0,0,5,0
refactor31,254,173,4,50,2
refactor32,254,174,3,50,2
refactor33,254,174,3,50,2
refactor34,254,173,4,50,2
refactor35,254,173,4,50,2
refactor36,254,174,3,50,2
refactor37,254,173,4,50,2
refactor38,257,174,3,48,2
refactor39,257,174,3,48,2
refactor40,0,0,0,0,0
refactor41,30,0,0,13,0
refactor42,20,16,1,7,0
refactor43,20,16,1,7,0
refactor44,20,16,1,7,0
refactor45,20,16,1,7,0
refactor46,20,16,1,7,0
refactor47,10,2,3,1,0
refactor48,244,59,21,47,0
refactor49,5,0,0,1,0
refactor50,0,0,0,0,0
refactor51,2,0,0,2,0
refactor52,5,1,0,4,0
refactor53,38,0,0,14,1
refactor54,50,0,4,16,1
refactor55,0,0,0,0,0
refactor56,0,0,0,0,0
refactor57,7,0,1,2,0
refactor58,10,0,0,5,0
refactor59,12,0,1,5,0
refactor60,7,5,0,1,0
refactor61,1,0,0,1,0
refactor62,0,0,0,0,0
refactor63,25,0,0,6,0
refactor64,269,0,6,54,3
refactor65,102,55,3,22,2
refactor66,240,125,6,66,6
refactor67,108,89,5,27,1
refactor68,26,0,0,4,0
refactor69,26,0,0,4,0
refactor70,2762,1024,48,691,74
refactor71,2330,1118,41,587,53
refactor72,15,9,1,9,0
refactor73,15,9,1,9,0
refactor74,1,1,0,1,0
refactor75,1,1,0,1,0
refactor76,0,0,0,0,0
refactor77,30,24,0,9,0
refactor78,30,24,0,9,0
refactor79,30,16,0,9,0
refactor80,0,0,0,0,0
refactor81,0,0,0,0,0
refactor82,0,0,0,0,0
refactor83,119,119,0,37,3
refactor84,119,119,0,37,3
refactor85,5,5,0,5,0
refactor86,1,0,0,0,0
refactor87,1,0,0,0,0
refactor88,8,8,1,2,0
refactor89,1,0,0,0,0
refactor90,1,1,0,1,0
refactor91,10,0,0,3,0
refactor92,10,0,0,3,0
refactor93,51,6,4,13,1
refactor94,14,6,2,2,0
refactor95,3,0,0,1,0
refactor96,17,0,2,4,0
refactor97,47,0,1,15,1
refactor98,0,0,0,0,0
refactor99,3,0,0,1,0
refactor100,3,0,0,1,0
refactor101,11,0,0,7,0
refactor102,11,0,0,7,0
refactor103,215,21,10,58,3
refactor104,21,0,1,10,1
refactor105,0,0,0,0,0
refactor106,3,0,0,3,0
