unrefactor1,20,11,10,3,1,3,0
unrefactor2,78,16,69,56,9,22,3
unrefactor3,24,0,24,0,0,8,0
unrefactor4,69,7,62,0,0,9,0
unrefactor5,28,7,22,10,2,3,0
unrefactor6,264,52,239,90,27,15,0
unrefactor7,72,6,66,11,13,1,0
unrefactor8,18,2,16,0,0,1,0
unrefactor9,18,4,14,5,0,3,0
unrefactor10,45,14,35,22,4,16,1
unrefactor11,18,4,14,0,3,5,0
unrefactor12,13,12,1,0,0,5,0
unrefactor13,3,3,0,0,0,1,0
unrefactor14,127,21,106,0,7,21,2
unrefactor15,15,1,14,0,4,3,0
unrefactor16,7,7,0,0,0,7,0
unrefactor17,92,2,90,0,5,18,2
unrefactor18,15,7,8,0,3,6,0
unrefactor19,23,19,4,9,0,1,0
unrefactor20,8,3,5,0,2,2,0
unrefactor21,19,0,19,0,2,3,0
unrefactor22,27,4,23,0,4,3,0
unrefactor23,0,0,0,0,0,0,0
unrefactor24,30,5,25,0,1,1,0
unrefactor25,16,6,10,0,3,4,0
unrefactor26,0,0,0,0,0,0,0
unrefactor27,1,1,0,0,0,1,0
unrefactor28,2,2,0,0,0,2,0
unrefactor29,13,4,9,0,1,2,0
unrefactor30,7,5,2,0,0,3,0
unrefactor31,3,0,3,0,0,0,0
unrefactor32,28,6,22,0,2,3,0
unrefactor33,42,2,40,0,2,8,0
unrefactor34,17,5,12,11,1,6,0
unrefactor35,93,7,86,0,2,33,10
unrefactor36,17,3,14,0,3,3,0
unrefactor37,13,4,9,0,1,2,0
unrefactor38,32,11,22,21,4,3,0
unrefactor39,41,37,4,10,0,26,0
unrefactor40,11,3,8,2,0,6,0
unrefactor41,21,3,18,0,3,1,0
unrefactor42,28,1,27,0,0,1,0
unrefactor43,5,4,1,2,0,1,0
unrefactor44,6,3,3,0,0,1,0
unrefactor45,15,1,14,0,1,5,1
unrefactor46,11,11,0,0,2,5,0
unrefactor47,3,2,1,0,0,2,0
unrefactor48,38,6,32,33,3,12,1
unrefactor49,19,1,18,0,0,1,0
unrefactor50,37,3,34,0,1,9,1
unrefactor51,94,0,94,0,15,1,0
unrefactor52,13,3,10,0,1,0,0
unrefactor53,0,0,0,0,0,0,0
unrefactor54,5,5,0,0,0,1,0
unrefactor55,6,6,0,6,1,4,0
unrefactor56,6,6,0,5,1,1,0
unrefactor57,30,0,30,0,0,13,0
unrefactor58,3,3,0,0,0,2,0
unrefactor59,5,2,3,1,0,0,0
unrefactor60,0,0,0,0,0,0,0
unrefactor61,0,0,0,0,0,0,0
unrefactor62,20,6,16,1,2,3,0
unrefactor63,23,1,22,21,0,4,1
unrefactor64,25,5,20,13,0,9,1
unrefactor65,0,0,0,0,0,0,0
unrefactor66,33,3,31,8,4,4,1
unrefactor67,175,16,159,0,23,11,0
unrefactor68,0,0,0,0,0,0,0
unrefactor69,0,0,0,0,0,0,0
unrefactor70,24,5,22,16,4,3,0
unrefactor71,72,3,69,0,10,11,0
unrefactor72,27,2,25,4,1,5,0
unrefactor73,34,5,29,0,5,6,1
unrefactor74,2,2,0,0,0,1,0
unrefactor75,12,1,11,0,0,3,0
unrefactor76,2,2,0,0,0,1,0
unrefactor77,27,15,13,13,0,2,0
unrefactor78,3,3,0,0,0,3,0
unrefactor79,19,19,0,0,0,0,0
unrefactor80,22,2,20,0,1,6,0
unrefactor81,28,2,26,0,3,4,1
unrefactor82,64,10,54,0,12,4,0
unrefactor83,2,2,0,0,0,1,0
unrefactor84,6,2,4,0,0,2,0
unrefactor85,110,31,79,0,10,20,0
unrefactor86,100,5,95,0,7,7,0
unrefactor87,2,2,0,0,0,1,0
unrefactor88,49,3,46,0,3,15,3
unrefactor89,4,3,1,4,1,1,0
unrefactor90,23,2,21,0,2,5,0
unrefactor91,17,7,10,0,0,9,0
unrefactor92,12,5,10,7,1,5,0
unrefactor93,124,15,109,0,3,25,0
unrefactor94,2,2,0,0,0,1,0
unrefactor95,20,5,17,7,0,8,0
unrefactor96,6,6,0,0,0,4,0
unrefactor97,51,3,48,0,3,16,0
unrefactor98,25,4,21,0,2,4,0
unrefactor99,9,9,0,0,0,0,0
unrefactor100,34,4,30,0,0,7,0
unrefactor101,12,5,7,0,4,2,0
unrefactor102,28,1,27,0,0,1,0
unrefactor103,45,4,43,41,1,18,5
unrefactor104,20,6,17,7,0,7,0
unrefactor105,66,22,59,32,9,13,1
unrefactor106,2,2,0,0,0,0,0
unrefactor107,1,1,0,0,0,0,0
unrefactor108,23,7,16,0,3,1,0
unrefactor109,145,16,131,36,13,26,0
unrefactor110,2,2,0,0,1,1,0
unrefactor111,6,6,0,0,0,1,0
unrefactor112,6,6,0,0,0,1,0
unrefactor113,63,19,56,42,4,1,0
unrefactor114,39,4,35,0,0,14,2
unrefactor115,57,1,56,0,5,7,0
unrefactor116,2,2,0,0,0,1,0
unrefactor117,8,2,6,0,2,1,0
unrefactor118,8,8,0,0,0,8,0
unrefactor119,0,0,0,0,0,0,0
unrefactor120,8,6,2,0,0,4,0
unrefactor121,55,1,54,0,0,1,0
unrefactor122,36,6,30,14,5,9,0
unrefactor123,28,3,25,0,1,9,1
unrefactor124,2,2,0,0,0,2,0
unrefactor125,28,9,25,15,4,4,0
unrefactor126,64,10,54,0,12,4,0
unrefactor127,28,3,25,0,1,9,1
unrefactor128,2,2,0,0,0,2,0
unrefactor129,14,1,13,0,0,5,0
unrefactor130,92,26,68,21,6,26,0
unrefactor131,275,20,255,0,27,10,0
unrefactor132,5,5,0,2,0,5,0
unrefactor133,32,2,30,0,3,2,0
unrefactor134,0,0,0,0,0,0,0
unrefactor135,33,0,33,0,3,6,1
unrefactor136,16,5,11,0,1,5,0
unrefactor137,9,1,8,9,0,0,0
unrefactor138,63,1,62,0,8,5,0
unrefactor139,9,1,8,9,0,0,0
unrefactor140,15,9,6,0,0,1,0
unrefactor141,22,3,19,0,3,6,0
unrefactor142,1,1,0,0,0,0,0
unrefactor143,46,10,41,20,7,8,0
unrefactor144,24,1,23,0,0,9,0
unrefactor145,63,6,57,0,3,16,1
unrefactor146,0,0,0,0,0,0,0
unrefactor147,2,2,0,0,0,2,0
unrefactor148,27,3,24,0,2,5,0
unrefactor149,24,2,22,0,2,5,0
unrefactor150,30,5,25,0,5,4,0
unrefactor151,12,12,0,0,0,1,0
unrefactor152,15,14,1,0,0,7,0
unrefactor153,11,7,5,11,1,3,0
unrefactor154,58,2,56,0,0,13,0
unrefactor155,26,13,13,3,1,14,0
unrefactor156,0,0,0,0,0,0,0
unrefactor157,16,7,9,0,0,3,0
unrefactor158,4,4,0,0,0,3,0
unrefactor159,55,4,51,0,8,4,0
unrefactor160,4,4,0,0,0,4,0
unrefactor161,91,22,69,0,14,22,2
unrefactor162,28,2,26,0,0,5,0
unrefactor163,10,5,5,0,0,2,0
unrefactor164,13,3,11,2,0,5,0
unrefactor165,8,4,4,0,0,1,0
unrefactor166,113,9,104,0,8,17,0
unrefactor167,0,0,0,0,0,0,0
unrefactor168,8,8,0,0,0,8,0
unrefactor169,20,2,18,0,4,3,0
unrefactor170,12,5,7,0,3,1,0
unrefactor171,4,0,4,2,0,1,0
unrefactor172,20,6,14,0,4,1,0
unrefactor173,3,3,0,0,0,1,0
unrefactor174,203,29,194,55,21,40,4
unrefactor175,15,6,9,5,1,8,0
unrefactor176,21,0,21,0,3,3,0
unrefactor177,5,4,2,0,0,4,0
unrefactor178,37,5,32,0,2,6,0
unrefactor179,30,2,28,0,0,9,2
unrefactor180,0,0,0,0,0,0,0
unrefactor181,144,21,123,0,9,36,2
unrefactor182,3,3,0,0,0,1,0
unrefactor183,0,0,0,0,0,0,0
unrefactor184,2,2,0,0,0,1,0
