unrefactor1,2,0,0,0,0,0,0,2,0,0,0
unrefactor2,1477,0,0,0,78,17,0,1477,0,0,0
unrefactor3,1477,2,3,1,106,22,0,1474,3,0,0
unrefactor4,158,2,3,1,111,26,2,154,2,2,0
unrefactor5,228,0,0,0,40,9,0,228,0,0,0
unrefactor6,0,0,0,0,0,0,0,0,0,0,0
unrefactor7,367,2,4,0,42,2,4,363,0,0,4
unrefactor8,289,1,2,1,19,3,2,287,0,2,0
unrefactor9,90,0,0,0,14,4,0,89,1,0,0
unrefactor10,368,2,2,1,31,7,2,365,0,1,2
unrefactor11,1071,1,2,0,2,0,2,1069,0,2,0
unrefactor12,0,0,0,0,0,0,0,0,0,0,0
unrefactor13,995,1,3,0,25,3,3,992,0,3,0
unrefactor14,649,3,11,1,26,1,9,688,5,9,0
unrefactor15,478,1,1,1,22,5,1,477,0,1,0
unrefactor16,1477,4,6,1,56,10,6,1471,0,6,0
unrefactor17,1477,3,3,0,75,16,1,1474,2,1,0
unrefactor18,606,6,21,3,250,17,21,585,0,21,0
unrefactor19,0,0,0,0,0,0,0,0,0,0,0
unrefactor20,0,0,0,0,0,0,0,0,0,0,0
unrefactor21,592,1,1,0,38,5,0,588,4,0,0
unrefactor22,415,1,2,0,6,0,2,413,0,2,0
unrefactor23,2,0,0,0,0,0,0,2,0,0,0
unrefactor24,92,1,3,2,3,2,3,89,0,3,0
unrefactor25,620,1,4,1,46,17,4,616,0,4,0
unrefactor26,278,0,0,0,10,1,0,278,0,0,0
unrefactor27,322,1,1,0,23,8,0,321,1,0,0
unrefactor28,0,0,0,0,0,0,0,0,0,0,0
unrefactor29,86,0,0,0,2,0,0,86,0,0,0
unrefactor30,271,2,5,1,8,1,5,266,0,5,0
unrefactor31,1477,5,16,3,85,22,2,1458,17,2,0
unrefactor32,1477,1,11,3,47,15,5,1466,6,5,0
unrefactor33,147,1,5,3,16,5,1,339,9,1,0
unrefactor34,390,1,3,0,9,2,3,387,0,0,0
unrefactor35,1477,1,2,0,2,0,0,1475,2,0,0
unrefactor36,1477,2,4,0,70,16,3,1472,2,3,0
unrefactor37,8,0,0,0,2,0,0,8,0,0,0
unrefactor38,255,1,2,0,51,11,2,253,0,0,0
unrefactor39,424,0,0,0,0,0,0,424,0,0,0
unrefactor40,1255,1,2,1,3,2,2,1253,0,0,2
unrefactor41,1465,1,2,0,62,20,1,1474,2,1,0
unrefactor42,533,0,0,0,0,0,0,533,0,0,0
unrefactor43,1477,12,30,5,33,7,30,1447,0,0,30
unrefactor44,37,0,0,0,6,1,0,37,0,0,0
unrefactor45,1477,4,8,1,53,16,8,1469,0,8,0
unrefactor46,0,0,0,0,0,0,0,0,0,0,0
unrefactor47,19,0,0,0,17,5,0,19,0,0,0
unrefactor48,1412,2,5,1,10,4,3,1407,0,2,0
unrefactor49,6,1,1,1,2,1,1,5,0,1,0
unrefactor50,379,1,4,0,17,2,4,375,0,4,0
unrefactor51,455,1,1,0,22,7,1,454,0,1,0
unrefactor52,0,0,0,0,0,0,0,0,0,0,0
unrefactor53,206,0,0,0,1,0,0,852,1,0,0
unrefactor54,384,1,8,4,56,20,6,375,1,2,6
unrefactor55,598,1,2,0,27,7,2,596,0,0,0
unrefactor56,724,2,2,0,31,6,2,722,0,0,0
unrefactor57,843,4,5,0,105,10,4,836,3,4,0
unrefactor58,196,1,1,0,2,0,1,195,0,1,0
unrefactor59,4,0,0,0,1,0,0,4,0,0,0
unrefactor60,634,1,14,1,93,8,14,620,0,14,0
unrefactor61,1477,1,1,0,96,24,1,1476,0,1,0
unrefactor62,321,0,0,0,33,3,0,321,0,0,0
unrefactor63,377,0,0,0,38,12,0,377,0,0,0
unrefactor64,1201,2,7,0,17,3,7,1194,0,0,7
unrefactor65,0,0,0,0,0,0,0,0,0,0,0
unrefactor66,86,1,2,0,4,0,2,84,0,0,2
unrefactor67,1329,4,11,0,158,17,11,1318,0,11,0
unrefactor68,147,2,2,1,29,7,1,139,7,1,0
unrefactor69,1269,2,7,0,30,5,4,1258,7,4,0
unrefactor70,199,3,9,0,25,0,9,190,0,0,9
unrefactor71,1477,4,30,4,76,17,30,1447,0,30,0
unrefactor72,1477,2,2,0,36,5,2,1475,0,0,0
unrefactor73,969,1,2,1,16,5,2,967,0,2,0
unrefactor74,1477,13,31,4,34,4,31,1446,0,31,0
unrefactor75,73,0,0,0,13,5,0,73,0,0,0
unrefactor76,198,1,9,0,17,3,9,189,0,9,0
unrefactor77,0,0,0,0,0,0,0,0,0,0,0
unrefactor78,227,0,0,0,12,4,0,227,0,0,0
unrefactor79,1477,0,0,0,32,12,0,1477,0,0,0
unrefactor80,925,1,3,1,47,13,3,922,0,3,0
unrefactor81,754,1,13,1,22,1,13,741,0,13,0
unrefactor82,476,8,15,3,28,3,8,459,9,8,0
unrefactor83,10,0,0,0,1,0,0,10,0,0,0
unrefactor84,13,1,1,0,1,0,1,12,0,1,0
unrefactor85,1477,8,18,3,32,7,0,1459,18,0,0
unrefactor86,1477,3,3,0,17,3,3,1474,0,3,0
unrefactor87,289,1,2,1,19,3,2,287,0,2,0
unrefactor88,0,0,0,0,0,0,0,0,0,0,0
