refactor1,360,0,0,0,21,6,0,359,1,0,0
refactor2,360,1,3,3,39,17,3,357,0,3,0
refactor3,360,1,1,0,43,11,1,359,0,1,0
refactor4,360,1,8,1,43,11,1,346,0,13,0
refactor5,360,1,4,0,39,4,0,354,6,0,0
refactor6,360,1,2,1,45,6,2,358,0,2,0
refactor7,360,1,1,1,44,24,1,359,0,1,0
refactor8,360,1,1,1,44,24,1,359,0,1,0
refactor9,360,1,10,5,43,15,10,350,0,10,0
refactor10,360,1,10,5,43,15,10,350,0,10,0
refactor11,360,2,2,1,52,12,2,358,0,2,0
refactor12,360,1,1,0,21,7,1,359,0,0,0
refactor13,360,1,1,0,21,7,1,359,0,0,0
refactor14,360,1,7,1,62,18,7,353,0,7,0
refactor15,360,1,1,0,23,7,1,359,0,0,1
refactor16,360,1,1,0,26,9,1,359,0,1,0
refactor17,1,0,0,0,1,1,0,1,0,0,0
refactor18,1,0,0,0,1,1,0,1,0,0,0
refactor19,3,0,0,0,3,1,0,3,0,0,0
refactor20,3,0,0,0,3,1,0,3,0,0,0
refactor21,3,0,0,0,3,1,0,3,0,0,0
refactor22,5,0,0,0,4,1,0,5,0,0,0
refactor23,5,0,0,0,4,1,0,5,0,0,0
refactor24,5,0,0,0,4,1,0,5,0,0,0
refactor25,5,0,0,0,4,1,0,5,0,0,0
refactor26,6,0,0,0,4,0,0,6,0,0,0
refactor27,6,0,0,0,4,0,0,6,0,0,0
refactor28,6,0,0,0,4,0,0,6,0,0,0
refactor29,7,0,0,0,4,0,0,7,0,0,0
refactor30,8,0,0,0,4,0,0,8,0,0,0
refactor31,10,0,0,0,4,0,0,10,0,0,0
refactor32,12,0,0,0,4,0,0,12,0,0,0
refactor33,12,0,0,0,4,0,0,12,0,0,0
refactor34,12,0,0,0,4,0,0,12,0,0,0
refactor35,12,0,0,0,4,0,0,12,0,0,0
refactor36,12,0,0,0,4,0,0,12,0,0,0
refactor37,12,0,0,0,4,0,0,12,0,0,0
refactor38,12,0,0,0,4,0,0,12,0,0,0
refactor39,14,0,0,0,5,1,0,14,0,0,0
refactor40,14,0,0,0,5,1,0,14,0,0,0
refactor41,17,0,0,0,5,1,0,17,0,0,0
refactor42,19,0,0,0,6,2,0,19,0,0,0
refactor43,19,0,0,0,6,2,0,19,0,0,0
refactor44,21,0,0,0,5,0,0,21,0,0,0
refactor45,22,0,0,0,5,0,0,22,0,0,0
refactor46,22,0,0,0,5,0,0,22,0,0,0
refactor47,25,0,0,0,2,1,0,25,0,0,0
refactor48,25,0,0,0,2,1,0,25,0,0,0
refactor49,29,0,0,0,2,1,0,29,0,0,0
refactor50,30,0,0,0,2,1,0,30,0,0,0
refactor51,30,0,0,0,2,1,0,30,0,0,0
refactor52,30,0,0,0,2,1,0,30,0,0,0
refactor53,31,0,0,0,2,1,0,31,0,0,0
refactor54,31,0,0,0,3,2,0,31,0,0,0
refactor55,31,0,0,0,2,1,0,31,0,0,0
refactor56,31,0,0,0,3,2,0,31,0,0,0
refactor57,31,0,0,0,3,2,0,31,0,0,0
refactor58,31,0,0,0,2,1,0,31,0,0,0
refactor59,31,0,0,0,3,2,0,31,0,0,0
