@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,false,0,31,1.0,31,173,true,5,0.1,0.0,false,true,true,true,refactored
2,0,true,false,0,31,1.0,31,173,true,5,0.1,0.0,false,true,true,true,refactored
2,0,true,true,0,34,0.6470588235294118,22,150,true,3,0.14285714285714285,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,refactored
2,0,true,false,0,127,0.1968503937007874,25,76,true,4,0.3333333333333333,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
4,0,true,true,0,117,0.1794871794871795,21,80,true,11,0.3157894736842105,0.0,false,true,true,true,refactored
