@relation cloneEval

@attribute numInstance real
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
3,false,1.0,19,168,true,3,0.25,0.0,false,false,10,0.012257889746715427,0.0013531799729364006,1.3544629554381688E-4,0.0,0.0023703101720167954,5.417851821752675E-4,1.3544629554381688E-4,0.01212244345117161,0.0,0.0,1.3544629554381688E-4,31,0.6451612903225806,0.12903225806451613,0.1935483870967742,0.0,refactored
3,false,1.0,19,162,true,3,0.3125,0.0,false,false,12,0.012257889746715427,0.0013531799729364006,1.3544629554381688E-4,0.0,0.0023703101720167954,5.417851821752675E-4,1.3544629554381688E-4,0.01212244345117161,0.0,0.0,1.3544629554381688E-4,31,0.6451612903225806,0.12903225806451613,0.1935483870967742,0.0,refactored
2,false,1.0,33,199,true,9,0.42857142857142855,0.0,false,false,10,0.013680075849925505,0.0013531799729364006,6.772314777190844E-5,0.0,9.481240688067181E-4,2.7089259108763376E-4,0.0,0.013612352702153597,6.772314777190844E-5,0.0,0.0,66,0.0,0.06060606060606061,0.15151515151515152,0.0,refactored
2,true,0.6666666666666666,10,72,true,2,0.2,0.0,true,false,6,0.07354733848029256,0.0013531799729364006,1.3544629554381688E-4,0.0,0.001557632398753894,6.772314777190844E-5,6.772314777190844E-5,0.07341189218474875,6.772314777190844E-5,6.772314777190844E-5,0.0,1,0.0,0.0,0.0,0.0,refactored
2,false,1.0,20,155,true,5,0.4,0.05,false,false,8,0.04848977380468644,0.0013531799729364006,6.772314777190844E-5,0.0,4.063388866314506E-4,0.0,6.772314777190844E-5,0.04842205065691453,0.0,6.772314777190844E-5,0.0,53,0.0,0.09433962264150944,0.33962264150943394,0.018867924528301886,refactored
2,false,0.55,11,93,true,3,0.45454545454545453,0.09090909090909091,false,false,8,0.04848977380468644,0.0013531799729364006,6.772314777190844E-5,0.0,4.063388866314506E-4,0.0,6.772314777190844E-5,0.04842205065691453,0.0,6.772314777190844E-5,0.0,0,-1,-1,-1,-1,refactored
2,false,1.0,19,131,true,6,0.16666666666666666,0.0,false,false,5,0.02695381281321956,0.0027063599458728013,2.7089259108763376E-4,6.772314777190844E-5,8.126777732629012E-4,2.031694433157253E-4,2.7089259108763376E-4,0.026682920222131926,0.0,2.7089259108763376E-4,0.0,25,0.0,0.12,0.24,0.0,refactored
2,false,0.19047619047619047,16,152,false,0,0.0,0.0,false,false,5,0.10002708925910876,0.0027063599458728013,3.386157388595422E-4,6.772314777190844E-5,0.002912095354192063,7.449546254909928E-4,3.386157388595422E-4,0.09968847352024922,0.0,3.386157388595422E-4,0.0,4,0.0,0.0,0.25,0.0,refactored
2,false,0.9333333333333333,14,113,true,3,0.08333333333333333,0.0,false,false,2,0.033522958147094675,0.0013531799729364006,6.772314777190844E-5,0.0,0.0017608018420696193,2.7089259108763376E-4,6.772314777190844E-5,0.03345523499932277,0.0,6.772314777190844E-5,0.0,19,0.0,0.05263157894736842,0.21052631578947367,0.0,refactored
2,true,0.3146067415730337,28,245,true,13,0.0,0.0,true,false,15,0.07212515237708249,0.0027063599458728013,2.031694433157253E-4,6.772314777190844E-5,0.0038602194229987808,0.001219016659894352,2.031694433157253E-4,0.07192198293376677,0.0,2.031694433157253E-4,0.0,67,0.0,0.11940298507462686,0.19402985074626866,0.0,refactored
6,false,0.16853932584269662,15,105,true,2,0.0,0.0,false,false,7,0.07212515237708249,0.0027063599458728013,2.031694433157253E-4,6.772314777190844E-5,0.0038602194229987808,0.001219016659894352,2.031694433157253E-4,0.07178653663822294,6.772314777190844E-5,0.0,6.772314777190844E-5,36,0.4166666666666667,0.05555555555555555,0.3055555555555556,0.027777777777777776,refactored
2,false,0.9285714285714286,13,94,true,2,0.08333333333333333,0.0,false,false,6,0.07835568197209807,0.0027063599458728013,2.7089259108763376E-4,1.3544629554381688E-4,0.00433428145740214,0.001083570364350535,2.031694433157253E-4,0.07808478938101043,6.772314777190844E-5,2.031694433157253E-4,0.0,0,-1,-1,-1,-1,refactored
2,false,0.9333333333333333,14,82,true,3,0.5384615384615384,0.0,false,false,6,0.07835568197209807,0.0027063599458728013,2.7089259108763376E-4,1.3544629554381688E-4,0.00433428145740214,0.001083570364350535,2.031694433157253E-4,0.07808478938101043,6.772314777190844E-5,2.031694433157253E-4,0.0,0,-1,-1,-1,-1,refactored
2,false,0.9166666666666666,11,82,true,3,0.2,0.0,false,false,4,0.02045239062711635,0.0013531799729364006,1.3544629554381688E-4,0.0,0.001963971285385345,4.063388866314506E-4,1.3544629554381688E-4,0.020249221183800622,6.772314777190844E-5,1.3544629554381688E-4,0.0,18,0.0,0.1111111111111111,0.1111111111111111,0.0,refactored
2,false,0.9166666666666666,11,89,true,4,0.1,0.0,false,false,5,0.02045239062711635,0.0013531799729364006,1.3544629554381688E-4,0.0,0.001963971285385345,4.063388866314506E-4,1.3544629554381688E-4,0.020249221183800622,6.772314777190844E-5,1.3544629554381688E-4,0.0,37,0.0,0.05405405405405406,0.2702702702702703,0.02702702702702703,refactored
2,false,0.9736842105263158,37,486,false,0,0.6153846153846154,0.0,false,true,4,0.10002708925910876,0.009472259810554804,0.00216714072870107,8.804009210348097E-4,0.0033861573885954218,0.0018285249898415277,0.00216714072870107,0.09785994853040769,0.0,0.00216714072870107,0.0,3,0.0,0.0,0.3333333333333333,0.0,refactored
2,false,1.0,56,565,true,47,0.32,0.0,false,false,1,0.10002708925910876,0.006765899864682003,6.772314777190844E-4,1.3544629554381688E-4,0.006840037924962752,0.0014899092509819856,6.772314777190844E-4,0.09934985778138967,0.0,6.772314777190844E-4,0.0,42,0.0,0.0,0.2619047619047619,0.0,refactored
2,false,0.9473684210526315,18,197,false,1,0.6153846153846154,0.0,false,true,5,0.09257754300419883,0.012178619756427604,0.0013544629554381688,4.063388866314506E-4,0.0025734796153325207,0.0014221861032100772,0.0013544629554381688,0.09122308004876066,0.0,0.0013544629554381688,0.0,27,0.0,0.2222222222222222,0.037037037037037035,0.0,refactored
2,false,0.9875776397515528,159,1840,false,0,0.6981132075471698,0.0,false,true,9,0.10002708925910876,0.005412719891745603,6.09508329947176E-4,3.386157388595422E-4,0.0025057564675606122,0.0020316944331572532,6.09508329947176E-4,0.09941758092916159,0.0,6.09508329947176E-4,0.0,220,0.0,0.10454545454545454,0.06818181818181818,0.0,refactored
3,false,0.9836065573770492,60,670,true,10,0.5405405405405406,0.0,false,true,2,1.3544629554381688E-4,0.0,0.0,0.0,0.0,0.0,0.0,1.3544629554381688E-4,0.0,0.0,0.0,264,0.3409090909090909,0.10227272727272728,0.056818181818181816,0.0,refactored
2,false,0.95,19,248,true,1,0.6923076923076923,0.0,false,true,3,0.003724773127454964,0.0,0.0,0.0,3.386157388595422E-4,0.0,0.0,0.003724773127454964,0.0,0.0,0.0,22,0.0,0.13636363636363635,0.045454545454545456,0.0,refactored
2,true,0.22807017543859648,13,86,true,4,0.2727272727272727,0.0,true,false,7,0.10002708925910876,0.005412719891745603,0.0011512935121224435,0.0,0.004605174048489774,8.804009210348097E-4,0.0011512935121224435,0.09887579574698632,0.0,0.0011512935121224435,0.0,28,0.0,0.14285714285714285,0.10714285714285714,0.0,refactored
2,false,1.0,26,221,true,7,0.08333333333333333,0.0,false,false,5,0.10002708925910876,0.0027063599458728013,2.7089259108763376E-4,6.772314777190844E-5,0.0040633888663145065,0.0013544629554381688,2.7089259108763376E-4,0.09975619666802113,0.0,2.7089259108763376E-4,0.0,5,0.0,0.0,0.8,0.0,refactored
2,false,1.0,26,221,true,7,0.08333333333333333,0.0,false,false,5,0.10002708925910876,0.0027063599458728013,2.7089259108763376E-4,6.772314777190844E-5,0.0040633888663145065,0.0013544629554381688,2.7089259108763376E-4,0.09975619666802113,0.0,2.7089259108763376E-4,0.0,5,0.0,0.0,0.8,0.0,refactored
2,true,0.5,13,113,true,5,0.15384615384615385,0.0,true,false,4,0.10002708925910876,0.0027063599458728013,2.7089259108763376E-4,6.772314777190844E-5,0.0040633888663145065,0.0013544629554381688,2.7089259108763376E-4,0.09975619666802113,0.0,2.7089259108763376E-4,0.0,0,-1,-1,-1,-1,refactored
9,false,0.96,24,233,true,1,0.36363636363636365,0.0,false,true,3,0.06751997832859272,0.0027063599458728013,3.386157388595422E-4,0.0,0.0027089259108763375,6.09508329947176E-4,3.386157388595422E-4,0.06718136258973317,0.0,0.0,0.0,28,0.9642857142857143,0.14285714285714285,0.07142857142857142,0.0,refactored
26,false,0.9629629629629629,26,237,true,1,0.3333333333333333,0.0,false,true,3,0.09521874576730327,0.0013531799729364006,2.7089259108763376E-4,0.0,0.0010158472165786266,6.772314777190844E-5,2.7089259108763376E-4,0.09494785317621562,0.0,0.0,0.0,73,1.0,0.1506849315068493,0.1095890410958904,0.0,refactored
2,false,0.98125,157,1721,false,0,0.6893203883495146,0.0,false,true,10,0.10002708925910876,0.0013531799729364006,2.7089259108763376E-4,0.0,7.449546254909928E-4,1.3544629554381688E-4,2.7089259108763376E-4,0.09975619666802113,0.0,2.7089259108763376E-4,0.0,215,0.0,0.10232558139534884,0.06976744186046512,0.0,refactored
2,true,0.2571428571428571,18,259,true,7,0.3333333333333333,0.0,true,true,7,0.08404442638493838,0.014884979702300407,0.0020316944331572532,7.449546254909928E-4,0.004198835161858323,0.0011512935121224435,0.0020316944331572532,0.08201273195178112,0.0,0.0020316944331572532,0.0,47,0.0,0.06382978723404255,0.2765957446808511,0.02127659574468085,refactored
2,false,0.9767441860465116,42,368,true,16,0.2,0.0,false,false,13,0.10002708925910876,0.0,0.0,0.0,0.0011512935121224435,4.063388866314506E-4,0.0,0.10002708925910876,0.0,0.0,0.0,139,0.0,0.12949640287769784,0.16546762589928057,0.007194244604316547,refactored
2,false,0.9836065573770492,60,712,false,0,0.65,0.0,false,true,4,0.037180008126777735,0.005412719891745603,6.09508329947176E-4,1.3544629554381688E-4,0.0010158472165786266,3.386157388595422E-4,6.09508329947176E-4,0.03657049979683056,0.0,6.09508329947176E-4,0.0,75,0.0,0.17333333333333334,0.12,0.02666666666666667,refactored
2,false,1.0,26,403,false,0,0.3888888888888889,0.0,false,true,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.5,0.0,refactored
2,false,1.0,8,123,false,0,0.3333333333333333,0.0,false,true,4,0.0011512935121224435,0.0,0.0,0.0,4.063388866314506E-4,6.772314777190844E-5,0.0,0.0011512935121224435,0.0,0.0,0.0,22,0.0,0.045454545454545456,0.13636363636363635,0.0,refactored
