refactor1,15,3,12,0,2,5,0
refactor2,0,0,0,0,0,0,0
refactor3,6,6,0,0,0,6,0
refactor4,6,6,0,6,0,6,0
refactor5,16,0,16,0,1,3,0
refactor6,15,1,14,0,0,4,1
refactor7,15,1,14,0,0,4,1
refactor8,15,1,14,0,0,4,1
refactor9,128,16,112,0,9,30,5
refactor10,0,0,0,0,0,0,0
refactor11,10,5,5,0,0,6,0
refactor12,3,2,1,0,0,2,0
refactor13,0,0,0,0,0,0,0
refactor14,0,0,0,0,0,0,0
refactor15,62,18,44,0,1,29,0
refactor16,18,1,17,0,1,5,1
refactor17,0,0,0,0,0,0,0
refactor18,45,1,44,0,1,8,0
refactor19,57,7,51,29,4,17,0
refactor20,167,42,158,120,15,59,5
refactor21,57,16,42,53,5,23,2
refactor22,11,11,0,0,3,7,0
refactor23,57,16,42,53,5,23,2
refactor24,7,7,0,0,1,4,0
refactor25,9,9,0,0,0,8,0
refactor26,14,6,8,3,0,9,0
refactor27,19,5,14,12,1,7,0
refactor28,15,2,13,3,0,5,0
refactor29,11,1,10,0,0,1,0
refactor30,9,9,0,0,1,7,0
refactor31,8,2,6,0,1,3,0
refactor32,2,2,0,0,0,2,0
refactor33,5,5,0,0,1,2,0
refactor34,98,23,75,0,1,31,2
refactor35,5,5,0,0,4,1,0
refactor36,5,5,0,0,0,4,0
refactor37,26,2,24,0,0,11,1
refactor38,22,1,21,0,1,6,1
refactor39,29,13,16,0,2,14,0
refactor40,21,2,19,0,4,2,0
refactor41,29,2,27,0,4,6,1
refactor42,12,4,8,0,0,6,0
refactor43,10,4,6,0,0,6,0
refactor44,8,4,4,0,0,4,1
refactor45,17,5,14,1,0,8,0
refactor46,31,7,28,6,1,9,1
refactor47,11,3,8,0,1,6,0
refactor48,9,7,2,0,1,5,0
refactor49,15,5,10,14,0,8,0
refactor50,7,4,3,7,0,4,0
refactor51,47,11,40,14,1,12,1
refactor52,23,8,19,11,0,5,1
refactor53,13,5,9,7,1,5,1
refactor54,7,4,3,2,0,4,1
refactor55,49,17,33,42,3,21,1
refactor56,18,17,1,0,3,6,0
refactor57,19,11,12,7,1,7,0
refactor58,27,11,17,9,3,11,1
refactor59,13,6,8,1,0,5,0
refactor60,12,5,7,0,1,3,0
refactor61,3,3,0,0,0,3,0
refactor62,9,6,4,7,0,7,0
refactor63,4,4,0,0,0,4,0
refactor64,4,4,0,0,0,4,0
refactor65,8,6,2,0,1,5,0
refactor66,28,8,23,13,1,12,0
refactor67,5,5,1,0,0,4,0
refactor68,7,4,3,1,0,4,0
refactor69,4,4,0,0,0,4,0
refactor70,4,4,0,0,0,4,0
refactor71,10,4,6,0,0,4,0
refactor72,10,4,6,0,0,5,1
refactor73,8,4,4,0,0,6,0
refactor74,7,4,3,0,0,5,0
refactor75,7,4,3,0,0,4,0
refactor76,8,4,4,0,0,4,0
refactor77,20,8,15,6,0,5,0
refactor78,24,5,19,0,0,7,1
refactor79,18,8,10,4,0,5,0
refactor80,58,11,52,26,3,16,3
refactor81,5,5,0,0,0,5,0
refactor82,15,9,8,1,0,5,0
refactor83,4,4,0,0,0,4,0
refactor84,13,13,0,0,4,9,0
refactor85,8,6,2,0,0,6,1
refactor86,2,2,0,2,0,2,0
refactor87,51,8,43,0,0,11,0
refactor88,51,8,43,0,0,11,0
refactor89,51,8,43,0,0,11,0
refactor90,10,4,6,10,2,2,0
