@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,false,0,17,0.9411764705882353,16,167,true,5,0.07142857142857142,0.0,false,true,true,true,false,9,1.0,refactored
2,0,true,false,0,11,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,refactored
2,0,true,false,0,11,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,refactored
2,0,true,false,7,12,1.0,12,82,true,3,0.125,0.0,false,true,true,true,false,2,1.0,refactored
5,0,true,false,7,20,1.0,20,156,true,9,0.0625,0.0,false,true,true,true,false,3,1.0,refactored
2,2,true,false,24,35,0.9714285714285714,34,304,true,9,0.08,0.0,false,true,true,false,false,4,1.0,refactored
2,8,true,false,74,41,1.0,41,236,true,11,0.12903225806451613,0.0,false,true,true,false,false,9,1.0,refactored
4,41,true,false,75,14,1.0,14,137,true,5,0.07142857142857142,0.0,false,false,false,false,false,1,1.0,refactored
2,4,true,false,3,14,0.5714285714285714,8,81,true,3,0.0,0.0,false,true,true,false,false,9,1.0,refactored
2,4,true,false,3,14,0.5714285714285714,8,77,true,3,0.0,0.0,false,true,true,false,false,8,1.0,refactored
2,4,true,false,3,14,0.5714285714285714,8,73,true,3,0.0,0.0,false,true,true,false,false,7,1.0,refactored
2,4,true,false,3,14,1.0,14,132,true,7,0.0,0.0,false,true,true,false,false,3,1.0,refactored
2,4,true,false,3,14,1.0,14,125,true,7,0.0,0.0,false,true,true,false,false,3,1.0,refactored
2,4,true,false,3,14,1.0,14,120,true,7,0.0,0.0,false,true,true,false,false,3,1.0,refactored
2,4,true,false,3,14,1.0,14,111,true,7,0.0,0.0,false,true,true,false,false,3,1.0,refactored
2,4,true,false,3,14,1.0,14,118,true,7,0.0,0.0,false,true,true,false,false,3,1.0,refactored
2,2,true,false,7,12,0.9166666666666666,11,115,true,2,0.2,0.0,false,true,true,false,false,4,1.0,refactored
