@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
3,28,true,false,false,false,1.0,0.012257889746715427,0.0013531799729364006,1.3544629554381688E-4,0.0,0.0023703101720167954,5.417851821752675E-4,1.3544629554381688E-4,0.01212244345117161,0.0,0.0,1.3544629554381688E-4,31,0.6451612903225806,0.12903225806451613,0.1935483870967742,0.0,refactored
3,28,true,false,false,false,1.0,0.012257889746715427,0.0013531799729364006,1.3544629554381688E-4,0.0,0.0023703101720167954,5.417851821752675E-4,1.3544629554381688E-4,0.01212244345117161,0.0,0.0,1.3544629554381688E-4,31,0.6451612903225806,0.12903225806451613,0.1935483870967742,0.0,refactored
2,0,true,false,false,false,1.0,0.013680075849925505,0.0013531799729364006,6.772314777190844E-5,0.0,9.481240688067181E-4,2.7089259108763376E-4,0.0,0.013612352702153597,6.772314777190844E-5,0.0,0.0,66,0.0,0.06060606060606061,0.15151515151515152,0.0,refactored
2,5,false,false,false,false,0.6538461538461539,0.07354733848029256,0.0013531799729364006,1.3544629554381688E-4,0.0,0.001557632398753894,6.772314777190844E-5,6.772314777190844E-5,0.07341189218474875,6.772314777190844E-5,6.772314777190844E-5,0.0,1,0.0,0.0,0.0,0.0,refactored
2,3,false,false,false,false,1.0,0.04848977380468644,0.0013531799729364006,6.772314777190844E-5,0.0,4.063388866314506E-4,0.0,6.772314777190844E-5,0.04842205065691453,0.0,6.772314777190844E-5,0.0,53,0.0,0.09433962264150944,0.33962264150943394,0.018867924528301886,refactored
2,3,false,false,false,false,1.0,0.04848977380468644,0.0013531799729364006,6.772314777190844E-5,0.0,4.063388866314506E-4,0.0,6.772314777190844E-5,0.04842205065691453,0.0,6.772314777190844E-5,0.0,0,-1,-1,-1,-1,refactored
2,0,true,true,true,true,1.0,0.02695381281321956,0.0027063599458728013,2.7089259108763376E-4,6.772314777190844E-5,8.126777732629012E-4,2.031694433157253E-4,2.7089259108763376E-4,0.026682920222131926,0.0,2.7089259108763376E-4,0.0,25,0.0,0.12,0.24,0.0,refactored
2,0,true,true,true,true,1.0,0.10002708925910876,0.0027063599458728013,3.386157388595422E-4,6.772314777190844E-5,0.002912095354192063,7.449546254909928E-4,3.386157388595422E-4,0.09968847352024922,0.0,3.386157388595422E-4,0.0,4,0.0,0.0,0.25,0.0,refactored
2,0,true,true,true,true,1.0,0.033522958147094675,0.0013531799729364006,6.772314777190844E-5,0.0,0.0017608018420696193,2.7089259108763376E-4,6.772314777190844E-5,0.03345523499932277,0.0,6.772314777190844E-5,0.0,19,0.0,0.05263157894736842,0.21052631578947367,0.0,refactored
2,0,false,false,false,false,0.5714285714285714,0.07212515237708249,0.0027063599458728013,2.031694433157253E-4,6.772314777190844E-5,0.0038602194229987808,0.001219016659894352,2.031694433157253E-4,0.07192198293376677,0.0,2.031694433157253E-4,0.0,67,0.0,0.11940298507462686,0.19402985074626866,0.0,refactored
6,0,false,false,false,false,0.9344824228259813,0.07212515237708249,0.0027063599458728013,2.031694433157253E-4,6.772314777190844E-5,0.0038602194229987808,0.001219016659894352,2.031694433157253E-4,0.07178653663822294,6.772314777190844E-5,0.0,6.772314777190844E-5,36,0.4166666666666667,0.05555555555555555,0.3055555555555556,0.027777777777777776,refactored
2,0,true,false,false,false,1.0,0.07835568197209807,0.0027063599458728013,2.7089259108763376E-4,1.3544629554381688E-4,0.00433428145740214,0.001083570364350535,2.031694433157253E-4,0.07808478938101043,6.772314777190844E-5,2.031694433157253E-4,0.0,0,-1,-1,-1,-1,refactored
2,0,true,false,false,false,1.0,0.07835568197209807,0.0027063599458728013,2.7089259108763376E-4,1.3544629554381688E-4,0.00433428145740214,0.001083570364350535,2.031694433157253E-4,0.07808478938101043,6.772314777190844E-5,2.031694433157253E-4,0.0,0,-1,-1,-1,-1,refactored
