@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,true,true,true,1.0,0.10008024762123123,0.0,0.0,0.0,0.0014903129657228018,4.5855783560701593E-4,0.0,0.10008024762123123,0.0,0.0,0.0,33,0.0,0.09090909090909091,0.21212121212121213,0.0,unrefactored
2,11,true,true,true,false,1.0,0.07222285910810501,0.08,0.0020635102602315717,9.171156712140319E-4,0.007107646451908747,0.0025220680958385876,0.0020635102602315717,0.07015934884787343,0.0,0.0020635102602315717,0.0,20,0.0,0.05,0.25,0.0,unrefactored
6,0,false,false,false,false,0.7128949216498308,0.08414536283388742,0.0,0.0,0.0,8.024762123122779E-4,1.1463945890175398E-4,0.0,0.08414536283388742,0.0,0.0,0.0,74,0.527027027027027,0.12162162162162163,0.13513513513513514,0.02702702702702703,unrefactored
3,3,true,true,true,false,1.0,1.1463945890175398E-4,0.0,0.0,0.0,0.0,0.0,0.0,1.1463945890175398E-4,0.0,0.0,0.0,16,0.375,0.0625,0.25,0.0,unrefactored
2,0,true,false,false,false,1.0,0.023386449615957813,0.0,0.0,0.0,0.0012610340479192938,0.0,0.0,0.10008024762123123,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,13,false,false,false,false,0.23076923076923078,0.0560586954029577,0.06666666666666667,0.0024074286369368337,1.1463945890175398E-4,0.009056517253238566,0.0010317551301157859,0.0,0.05365126676602087,0.0024074286369368337,0.0,0.0,15,0.0,0.0,0.4666666666666667,0.0,unrefactored
2,0,true,false,false,false,1.0,1.1463945890175398E-4,0.0,0.0,0.0,1.1463945890175398E-4,1.1463945890175398E-4,0.0,0.0032099048492491115,1.1463945890175398E-4,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,0,false,false,false,false,1.0,0.07233749856700676,0.02666666666666667,3.4391837670526195E-4,0.0,0.0022927891780350797,2.2927891780350797E-4,2.2927891780350797E-4,0.0719935801903015,1.1463945890175398E-4,2.2927891780350797E-4,0.0,17,0.0,0.058823529411764705,0.35294117647058826,0.0,unrefactored
4,29,true,true,true,false,1.0,0.061905307806947155,0.02666666666666667,2.2927891780350797E-4,0.0,4.5855783560701593E-4,0.0,2.2927891780350797E-4,0.06167602888914364,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,unrefactored
2,18,false,false,false,false,0.4838709677419355,0.009858993465550843,0.02666666666666667,2.2927891780350797E-4,1.1463945890175398E-4,0.0013756735068210478,5.731972945087699E-4,0.0,0.009515075088845582,3.4391837670526195E-4,0.0,0.0,35,0.0,0.05714285714285714,0.2857142857142857,0.05714285714285714,unrefactored
2,0,false,false,false,false,1.0,0.10008024762123123,0.0,0.0,0.0,0.0038977416026596354,9.171156712140319E-4,0.0,0.09996560816232948,1.1463945890175398E-4,0.0,0.0,6,0.0,0.3333333333333333,0.0,0.0,unrefactored
2,0,false,false,false,false,1.0,0.10008024762123123,0.02666666666666667,5.731972945087699E-4,2.2927891780350797E-4,0.004470938897168405,0.0010317551301157859,3.4391837670526195E-4,0.09950705032672245,2.2927891780350797E-4,3.4391837670526195E-4,0.0,0,-1,-1,-1,-1,unrefactored
2,0,false,false,false,false,0.6122222222222222,0.016049524246245558,0.013333333333333334,4.5855783560701593E-4,0.0,0.0013756735068210478,4.5855783560701593E-4,0.0,0.015590966410638542,4.5855783560701593E-4,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,0,false,false,false,false,0.6160714285714286,0.10008024762123123,0.013333333333333334,1.1463945890175398E-4,1.1463945890175398E-4,0.0011463945890175398,0.0010317551301157859,0.0,0.09996560816232948,1.1463945890175398E-4,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,9,true,true,true,false,1.0,0.10008024762123123,0.05333333333333334,0.0010317551301157859,3.4391837670526195E-4,0.006763728075203485,0.0027513470136420956,0.0010317551301157859,0.09904849249111544,0.0,0.0010317551301157859,0.0,17,0.0,0.35294117647058826,0.29411764705882354,0.0,unrefactored
3,0,false,false,false,false,0.0,0.0029806259314456036,0.0,0.0,0.0,1.1463945890175398E-4,0.0,0.0,0.019030150177691163,0.0010317551301157859,0.0,0.0,0,-1,-1,-1,-1,unrefactored
3,0,false,false,false,false,0.4486930545182973,0.02074974206121747,0.013333333333333334,1.1463945890175398E-4,0.0,4.5855783560701593E-4,0.0,0.0,0.021322939355726243,1.1463945890175398E-4,0.0,0.0,5,1.0,0.0,1.0,0.0,unrefactored
4,32,true,true,true,false,1.0,0.08013298177232603,0.05333333333333334,0.0013756735068210478,1.1463945890175398E-4,0.007451564828614009,5.731972945087699E-4,0.0013756735068210478,0.07875730826550499,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,1,true,true,true,false,1.0,0.10008024762123123,0.013333333333333334,3.4391837670526195E-4,0.0,5.731972945087699E-4,0.0,3.4391837670526195E-4,0.09973632924452597,0.0,3.4391837670526195E-4,0.0,13,0.0,0.0,0.23076923076923078,0.0,unrefactored
2,0,false,false,false,false,0.921875,0.10008024762123123,0.013333333333333334,3.4391837670526195E-4,1.1463945890175398E-4,0.005158775650578929,9.171156712140319E-4,2.2927891780350797E-4,0.09962168978562422,2.2927891780350797E-4,2.2927891780350797E-4,0.0,0,-1,-1,-1,-1,unrefactored
2,0,false,false,false,false,0.6,1.1463945890175398E-4,0.0,0.0,0.0,1.1463945890175398E-4,1.1463945890175398E-4,0.0,0.02384500745156483,0.0019488708013298177,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,0,false,false,false,false,0.4375,0.08494783904619971,0.0,0.0,0.0,0.0028659864725438496,1.1463945890175398E-4,0.0,0.09973632924452597,3.4391837670526195E-4,0.0,0.0,8,0.0,0.0,0.125,0.0,unrefactored
2,0,true,true,true,true,1.0,0.07566204287515763,0.05333333333333334,0.0020635102602315717,0.0011463945890175398,0.0034391837670526195,0.0019488708013298177,0.0020635102602315717,0.07359853261492606,0.0,0.0020635102602315717,0.0,12,0.0,0.0,0.4166666666666667,0.0,unrefactored
2,7,true,true,true,false,1.0,8.024762123122779E-4,0.0,0.0,0.0,0.0,0.0,0.0,8.024762123122779E-4,0.0,0.0,0.0,3,0.0,0.0,0.3333333333333333,0.0,unrefactored
4,8,false,false,false,false,0.4385964912280702,0.011693224807978906,0.013333333333333334,2.2927891780350797E-4,1.1463945890175398E-4,4.5855783560701593E-4,1.1463945890175398E-4,2.2927891780350797E-4,0.06866903588215063,0.0,4.5855783560701593E-4,0.0,63,0.9523809523809523,0.1111111111111111,0.25396825396825395,0.031746031746031744,unrefactored
2,0,false,false,false,false,0.0,1.1463945890175398E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0010317551301157859,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
2,0,true,true,true,true,1.0,0.009515075088845582,0.013333333333333334,1.1463945890175398E-4,0.0,6.878367534105239E-4,2.2927891780350797E-4,1.1463945890175398E-4,0.009400435629943827,0.0,1.1463945890175398E-4,0.0,45,0.0,0.1111111111111111,0.15555555555555556,0.044444444444444446,unrefactored
2,0,false,false,false,false,0.5604113110539846,0.029806259314456036,0.0,0.0,0.0,5.731972945087699E-4,0.0,0.0,0.03186976957468761,0.0,0.0,0.0,0,-1,-1,-1,-1,unrefactored
3,26,false,false,false,false,0.7584299262381454,0.10008024762123123,0.0,0.0,0.0,0.005388054568382437,0.0022927891780350797,0.0,0.09996560816232948,1.1463945890175398E-4,0.0,0.0,46,0.2391304347826087,0.043478260869565216,0.2826086956521739,0.021739130434782608,unrefactored
2,0,false,false,false,false,1.0,0.08231113149145936,0.013333333333333334,2.2927891780350797E-4,0.0,0.0035538232259543735,4.5855783560701593E-4,2.2927891780350797E-4,0.08208185257365586,0.0,2.2927891780350797E-4,0.0,0,-1,-1,-1,-1,unrefactored
2,0,false,false,false,false,0.4634146341463415,0.10008024762123123,0.02666666666666667,4.5855783560701593E-4,2.2927891780350797E-4,0.0020635102602315717,2.2927891780350797E-4,0.0,0.09962168978562422,4.5855783560701593E-4,0.0,0.0,0,-1,-1,-1,-1,unrefactored
3,0,true,false,false,false,0.5833333333333334,0.10008024762123123,0.04,5.731972945087699E-4,2.2927891780350797E-4,0.006305170239596469,0.0011463945890175398,4.5855783560701593E-4,0.0993924108678207,1.1463945890175398E-4,1.1463945890175398E-4,4.5855783560701593E-4,0,-1,-1,-1,-1,unrefactored
