@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numParaMultiset real
@attribute numGappedMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,8,true,false,0,29,0.7586206896551724,22,241,true,4,0.13333333333333333,0.0,false,true,true,false,false,9,1.0,0.10002455594663175,0.016853932584269662,9.413112875501351E-4,2.0463288859785546E-4,0.009576819186379634,0.002373741507735123,9.413112875501351E-4,0.09908324465908161,0.0,9.413112875501351E-4,0.0,96,0.08333333333333333,0.9166666666666666,0.0,0.0,0.010416666666666666,0.0,unrefactored
2,0,false,false,0,21,1.0,21,160,true,6,0.13333333333333333,0.0,false,false,false,false,false,0,1.0,5.729720880739953E-4,0.011235955056179775,2.0463288859785546E-4,1.6370631087828436E-4,4.50192354915282E-4,1.6370631087828436E-4,4.092657771957109E-5,0.0030285667512482605,5.729720880739953E-4,4.092657771957109E-5,0.0,14,0.0,1.0,0.0,0.0,0.5714285714285714,0.0,unrefactored
2,0,false,true,0,70,0.1,7,91,true,1,0.7142857142857143,0.0,true,false,false,false,false,3,1.0,1.2277973315871326E-4,0.0056179775280898875,8.185315543914218E-5,4.092657771957109E-5,1.2277973315871326E-4,4.092657771957109E-5,0.0,0.08774658263076042,0.004665629860031105,0.0,0.0,0,-1,-1,-1,-1,-1,-1,unrefactored
4,0,true,true,0,1017,0.014749262536873156,15,77,true,2,0.0,0.0,true,true,true,true,false,5,1.0,0.020463288859785544,0.0056179775280898875,4.092657771957109E-5,0.0,4.91118932634853E-4,8.185315543914218E-5,4.092657771957109E-5,0.020422362282065974,0.0,0.0,0.0,18,0.16666666666666666,0.8888888888888888,0.3888888888888889,0.0,0.3888888888888889,0.0,unrefactored
2,11,true,false,0,14,1.0,14,122,false,0,0.7692307692307693,0.0,false,true,true,false,false,1,1.0,0.035074077105672424,0.0056179775280898875,4.092657771957109E-5,0.0,0.013423917492019318,0.002742080707211263,4.092657771957109E-5,0.035033150527952854,0.0,4.092657771957109E-5,0.0,26,0.15384615384615385,0.8461538461538461,0.0,0.038461538461538464,0.15384615384615385,0.0,unrefactored
2,6,false,false,0,16,1.0,16,200,true,7,0.06666666666666667,0.0,false,false,false,false,false,0,1.0,0.10002455594663175,0.016853932584269662,8.185315543914218E-4,2.0463288859785546E-4,0.04481460260293034,0.008921993942866498,4.91118932634853E-4,0.09896046492592289,5.729720880739953E-4,4.91118932634853E-4,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,unrefactored
2,9,true,true,0,24,0.5,12,131,true,1,0.5,0.0,true,true,true,false,false,10,1.0,7.776049766718507E-4,0.0,0.0,0.0,2.0463288859785546E-4,8.185315543914218E-5,0.0,7.776049766718507E-4,0.0,0.0,0.0,11,0.2727272727272727,0.7272727272727273,0.0,0.0,0.2727272727272727,0.0,unrefactored
2,1,true,false,0,40,1.0,40,433,true,7,0.1935483870967742,0.0,false,true,true,false,false,3,1.0,0.10002455594663175,0.02247191011235955,0.0010231644429892772,6.138986657935663E-4,0.029548989113530325,0.008389948432512073,0.0010231644429892772,0.09900139150364247,0.0,0.0010231644429892772,0.0,119,0.2184873949579832,0.7815126050420168,0.0,0.03361344537815126,0.15126050420168066,0.0,unrefactored
4,60,true,false,0,17,0.9411764705882353,16,758,false,0,0.0,0.0,false,true,true,false,false,1,1.0,0.02431038716542523,0.0056179775280898875,2.0463288859785546E-4,0.0,0.0017598428419415568,3.683391994761398E-4,2.0463288859785546E-4,0.02410575427682737,0.0,0.0,0.0,113,0.9469026548672567,0.061946902654867256,0.8495575221238938,0.0,0.008849557522123894,0.0,unrefactored
2,6,true,false,0,24,0.4583333333333333,11,89,true,9,0.0,0.0,false,true,true,false,false,1,1.0,0.024637799787181797,0.016853932584269662,2.0463288859785546E-4,0.0,0.007612343455840223,0.0015961365310632725,2.0463288859785546E-4,0.02443316689858394,0.0,2.0463288859785546E-4,0.0,10,0.0,1.0,0.0,0.0,0.6,0.0,unrefactored
