unrefactor1,0,0,0,0,0
unrefactor2,5,0,1,4,0
unrefactor3,238,0,0,1,0
unrefactor4,5,2,0,1,0
unrefactor5,198,196,12,42,8
unrefactor6,11,11,0,0,0
unrefactor7,5,2,0,1,0
unrefactor8,30,0,0,11,0
unrefactor9,7,2,0,1,0
unrefactor10,56,0,5,20,1
unrefactor11,0,0,0,0,0
unrefactor12,13,12,0,1,0
unrefactor13,25,0,0,14,1
unrefactor14,0,0,0,0,0
unrefactor15,29,19,0,10,0
unrefactor16,7,5,0,1,0
unrefactor17,20,0,2,4,0
unrefactor18,47,0,0,1,0
unrefactor19,4,0,0,1,0
unrefactor20,0,0,0,0,0
unrefactor21,29,0,0,4,0
unrefactor22,51,41,0,22,0
unrefactor23,5,0,1,1,0
unrefactor24,0,0,0,0,0
unrefactor25,0,0,0,0,0
unrefactor26,36,35,5,9,0
unrefactor27,10,0,0,4,0
unrefactor28,82,44,5,14,0
unrefactor29,23,17,0,1,0
unrefactor30,2,0,0,1,0
unrefactor31,263,166,35,50,6
unrefactor32,12,0,0,12,0
unrefactor33,0,0,0,0,0
unrefactor34,8,1,0,1,0
unrefactor35,28,0,3,7,1
unrefactor36,5,0,0,2,0
unrefactor37,44,0,2,13,1
unrefactor38,28,0,0,5,1
unrefactor39,0,0,0,0,0
unrefactor40,0,0,0,0,0
unrefactor41,16,0,0,5,1
unrefactor42,6,0,0,4,0
unrefactor43,15,0,0,14,0
unrefactor44,0,0,0,0,0
unrefactor45,59,29,1,22,0
unrefactor46,14,0,1,3,0
unrefactor47,11,0,1,1,0
unrefactor48,5,2,0,1,0
unrefactor49,40,0,3,13,0
unrefactor50,8,0,0,1,0
unrefactor51,4,0,0,4,0
unrefactor52,19,13,0,7,0
unrefactor53,189,43,6,54,3
unrefactor54,1,0,0,1,0
unrefactor55,16,0,1,4,0
unrefactor56,83,75,2,17,1
unrefactor57,0,0,0,0,0
unrefactor58,23,0,1,4,0
unrefactor59,2,0,0,1,0
unrefactor60,89,89,13,19,1
unrefactor61,3,0,0,2,0
unrefactor62,5,0,0,5,0
unrefactor63,0,0,0,0,0
unrefactor64,59,0,6,15,1
unrefactor65,20,9,0,8,0
unrefactor66,30,8,0,1,0
unrefactor67,4,0,0,1,0
unrefactor68,36,0,0,14,0
unrefactor69,4,0,0,2,0
unrefactor70,36,0,1,8,0
unrefactor71,4,0,0,1,0
unrefactor72,14,0,1,1,0
unrefactor73,15,0,1,5,0
unrefactor74,12,0,1,2,1
unrefactor75,37,27,3,10,0
unrefactor76,5,0,0,1,0
unrefactor77,2,0,0,0,0
unrefactor78,2,0,0,0,0
unrefactor79,21,0,3,6,0
unrefactor80,0,0,0,0,0
unrefactor81,2,0,1,1,0
unrefactor82,2,0,1,1,0
unrefactor83,13,12,0,1,0
unrefactor84,3,0,0,1,0
unrefactor85,5,0,0,1,0
unrefactor86,22,0,3,3,0
unrefactor87,0,0,0,0,0
unrefactor88,1,0,0,0,0
unrefactor89,5,3,0,1,0
unrefactor90,7,0,0,1,0
unrefactor91,21,0,0,6,0
unrefactor92,23,21,1,4,0
unrefactor93,0,0,0,0,0
unrefactor94,41,0,4,9,0
unrefactor95,27,0,2,3,0
unrefactor96,4,0,0,1,0
unrefactor97,5,1,0,1,0
unrefactor98,0,0,0,0,0
unrefactor99,4,0,0,1,0
unrefactor100,0,0,0,0,0
unrefactor101,1,0,0,1,0
unrefactor102,15,0,0,5,0
unrefactor103,3,0,0,1,0
unrefactor104,0,0,0,0,0
unrefactor105,8,0,1,2,0
unrefactor106,4,0,0,4,0
