refactor1,57,1,4,2,4,2,1,53,3,1,0
refactor2,5,1,2,2,3,2,2,3,0,0,2
refactor3,143,4,12,2,39,9,8,127,8,8,0
refactor4,154,6,19,5,58,13,19,135,0,19,0
refactor5,218,5,18,3,57,11,15,199,4,15,0
refactor6,28,2,3,2,3,2,3,25,0,3,0
refactor7,11,1,2,2,4,2,2,9,0,2,0
refactor8,116,2,12,4,17,6,12,104,0,0,12
refactor9,116,2,12,4,17,6,12,104,0,0,12
refactor10,191,3,22,8,29,10,22,169,0,22,0
refactor11,191,4,17,5,29,10,17,174,0,0,0
refactor12,61,4,7,4,11,4,7,54,0,7,0
refactor13,284,3,32,8,43,12,32,252,0,32,0
refactor14,602,6,38,6,94,19,1,557,37,7,1
refactor15,602,6,38,6,94,19,1,564,37,1,0
refactor16,90,2,3,1,19,5,3,87,0,3,0
refactor17,152,2,3,1,9,5,3,147,2,3,0
refactor18,152,2,3,1,9,5,3,147,2,3,0
refactor19,152,2,3,1,9,5,3,147,2,3,0
refactor20,154,2,4,1,10,5,4,150,0,4,0
refactor21,154,2,4,1,10,5,4,150,0,4,0
refactor22,383,4,15,9,54,17,15,368,0,15,0
refactor23,633,5,12,3,25,7,12,621,0,12,0
refactor24,46,1,1,1,3,3,1,45,0,1,0
refactor25,120,1,1,1,11,6,1,119,0,1,0
refactor26,120,1,1,1,11,6,1,119,0,1,0
refactor27,159,1,3,2,24,8,3,156,0,3,0
refactor28,159,1,3,2,24,8,3,156,0,3,0
refactor29,305,3,7,1,28,7,7,298,0,7,0
refactor30,36,1,1,1,9,2,1,35,0,1,0
refactor31,338,3,7,3,35,7,7,331,0,7,0
refactor32,394,3,5,1,48,11,5,389,0,5,0
refactor33,394,3,5,1,48,11,5,389,0,5,0
refactor34,470,3,4,2,27,10,4,466,0,0,4
refactor35,510,4,8,1,45,12,8,502,0,8,0
refactor36,510,4,8,1,45,12,8,502,0,8,0
refactor37,510,4,8,1,45,12,8,502,0,8,0
refactor38,510,4,8,1,45,12,8,502,0,8,0
refactor39,510,4,8,1,45,12,8,502,0,8,0
refactor40,510,4,8,1,45,12,8,502,0,8,0
refactor41,510,4,8,1,45,12,8,502,0,8,0
