unrefactor1,42,0,0,11,0
unrefactor2,56,23,1,15,1
unrefactor3,28,0,2,6,0
unrefactor4,36,0,4,18,0
unrefactor5,2,0,0,2,0
unrefactor6,2,0,0,2,0
unrefactor7,36,0,4,18,0
unrefactor8,25,13,8,3,0
unrefactor9,13,0,0,2,0
unrefactor10,2,2,0,2,0
unrefactor11,7,0,0,1,0
unrefactor12,21,0,3,2,0
unrefactor13,2,0,1,1,0
unrefactor14,20,0,0,8,0
unrefactor15,5,0,3,1,0
unrefactor16,55,25,9,8,0
unrefactor17,20,0,2,6,1
unrefactor18,6,4,2,1,0
unrefactor19,22,0,4,6,0
unrefactor20,5,1,0,3,0
unrefactor21,19,0,0,3,1
unrefactor22,3,0,0,3,0
unrefactor23,24,24,2,5,0
unrefactor24,42,0,3,7,0
unrefactor25,4,0,0,2,0
unrefactor26,32,0,0,11,2
unrefactor27,58,0,8,6,0
unrefactor28,7,0,0,7,0
unrefactor29,7,0,4,2,0
unrefactor30,6,0,0,1,0
unrefactor31,4,0,3,1,0
unrefactor32,9,0,2,6,0
unrefactor33,4,4,0,4,0
unrefactor34,18,18,3,10,0
unrefactor35,21,21,0,7,0
unrefactor36,0,0,0,0,0
unrefactor37,0,0,0,0,0
unrefactor38,49,42,3,21,1
unrefactor39,8,0,0,5,0
unrefactor40,2,0,0,2,0
unrefactor41,27,9,2,5,1
unrefactor42,17,4,1,3,0
unrefactor43,7,0,3,1,0
unrefactor44,0,0,0,0,0
unrefactor45,24,0,16,1,0
unrefactor46,10,0,1,5,0
unrefactor47,70,0,4,25,1
unrefactor48,1,0,0,1,0
unrefactor49,0,0,0,0,0
unrefactor50,0,0,0,0,0
unrefactor51,56,55,1,18,1
unrefactor52,15,0,0,6,0
unrefactor53,10,0,1,7,0
unrefactor54,29,19,2,7,0
unrefactor55,3,0,0,3,0
unrefactor56,6,0,0,3,0
unrefactor57,60,39,8,17,3
unrefactor58,25,13,8,3,0
unrefactor59,175,124,15,60,5
