refactor1,12,0,12,0,0,4,0
refactor2,31,7,24,20,4,6,0
refactor3,27,5,22,0,4,4,0
refactor4,31,7,24,20,4,6,0
refactor5,27,5,22,0,4,4,0
refactor6,10,3,7,0,0,6,0
refactor7,36,36,0,0,0,0,0
refactor8,4,4,0,0,0,2,0
refactor9,66,12,54,0,4,10,0
refactor10,14,8,6,0,3,2,0
refactor11,7,4,3,0,2,2,0
refactor12,4,4,0,1,0,4,0
refactor13,4,4,0,1,0,4,0
refactor14,26,3,23,0,0,0,0
refactor15,0,0,0,0,0,0,0
refactor16,37,3,34,0,0,0,0
refactor17,2,2,0,0,0,2,0
refactor18,9,4,5,0,2,1,0
refactor19,9,4,5,0,2,1,0
refactor20,18,3,15,0,3,4,0
refactor21,6,0,6,0,0,0,0
refactor22,88,8,87,38,8,13,1
refactor23,97,7,90,0,7,18,0
refactor24,19,19,0,0,2,2,0
refactor25,8,3,5,0,0,3,0
refactor26,1,1,0,0,0,0,0
refactor27,4,4,0,0,0,4,0
refactor28,5,5,0,0,0,5,0
refactor29,0,0,0,0,0,0,0
refactor30,2,2,0,0,0,2,0
refactor31,2,2,0,0,0,0,0
refactor32,13,3,10,3,2,0,0
refactor33,3,3,0,0,0,2,0
refactor34,53,5,48,0,5,18,1
refactor35,53,5,48,0,5,18,1
refactor36,53,5,48,0,5,18,1
refactor37,0,0,0,0,0,0,0
refactor38,0,0,0,0,0,0,0
refactor39,0,0,0,0,0,0,0
refactor40,25,2,23,0,3,6,0
refactor41,25,2,23,0,3,6,0
refactor42,8,8,0,0,3,3,0
refactor43,5,5,0,0,3,1,0
refactor44,21,7,14,21,3,7,0
refactor45,39,9,31,29,3,10,0
refactor46,2,2,0,2,0,1,0
refactor47,4,0,4,0,0,1,0
refactor48,0,0,0,0,0,0,0
refactor49,0,0,0,0,0,0,0
refactor50,7,0,7,0,1,1,0
refactor51,25,2,23,7,3,4,0
refactor52,35,12,23,0,2,11,3
refactor53,167,8,159,0,18,33,1
refactor54,223,15,210,64,21,54,2
refactor55,4,2,2,2,1,1,0
refactor56,19,0,19,0,1,4,0
refactor57,0,0,0,0,0,0,0
refactor58,6,6,0,6,0,6,0
refactor59,6,2,4,0,1,2,0
refactor60,8,0,8,0,1,2,0
refactor61,74,7,67,0,4,18,1
refactor62,39,4,35,0,2,10,1
refactor63,5,3,2,0,0,4,0
refactor64,21,4,18,14,1,9,0
refactor65,21,4,18,14,1,9,0
refactor66,21,4,18,14,1,9,0
refactor67,21,4,18,14,1,9,0
refactor68,34,2,32,0,2,9,1
refactor69,0,0,0,0,0,0,0
refactor70,67,8,59,0,8,13,0
refactor71,36,5,35,15,2,11,1
refactor72,18,14,6,6,1,8,0
refactor73,18,14,6,6,1,8,0
refactor74,18,14,6,6,1,8,0
refactor75,18,14,6,6,1,8,0
refactor76,18,14,6,6,1,8,0
refactor77,18,14,6,6,1,8,0
refactor78,4,4,0,0,0,2,0
refactor79,4,4,0,0,0,2,0
refactor80,4,4,0,0,0,2,0
refactor81,4,4,0,0,0,2,0
refactor82,7,4,5,6,1,2,0
refactor83,5,3,3,4,1,1,0
refactor84,5,3,3,4,1,1,0
refactor85,2,2,0,0,1,1,0
refactor86,25,5,23,21,3,8,0
refactor87,12,2,12,8,1,5,0
refactor88,2,2,0,0,0,1,0
refactor89,2,2,0,0,0,1,0
refactor90,2,2,0,0,0,1,0
refactor91,23,14,9,0,1,3,0
refactor92,0,0,0,0,0,0,0
refactor93,0,0,0,0,0,0,0
refactor94,3,1,2,1,0,1,0
refactor95,3,1,2,1,0,1,0
refactor96,6,2,4,2,0,2,0
refactor97,6,2,4,2,0,2,0
refactor98,15,3,12,0,2,1,0
refactor99,15,3,12,0,2,1,0
refactor100,284,7,277,0,6,74,8
refactor101,284,7,277,0,6,74,8
refactor102,55,1,54,0,2,13,1
refactor103,15,3,12,0,2,2,0
refactor104,15,3,12,0,2,2,0
refactor105,27,15,12,26,6,7,0
refactor106,18,9,9,0,1,6,0
refactor107,18,1,17,0,2,2,0
refactor108,37,1,36,0,2,10,1
refactor109,170,5,165,0,9,22,0
refactor110,7,7,0,0,0,5,0
refactor111,6,3,3,0,0,1,0
refactor112,13,7,6,0,0,5,0
refactor113,71,27,44,0,4,19,1
refactor114,99,5,94,0,11,13,0
refactor115,36,1,35,1,5,2,0
refactor116,3,3,0,0,0,1,0
refactor117,3,3,0,0,0,1,0
refactor118,121,15,106,0,21,12,3
refactor119,94,3,91,0,4,22,2
refactor120,18,17,1,0,3,10,0
refactor121,42,1,41,0,0,11,0
refactor122,27,6,21,0,6,1,0
refactor123,434,22,421,205,8,106,11
refactor124,434,22,421,205,8,106,11
refactor125,434,22,421,205,8,106,11
refactor126,21,1,20,0,0,3,0
refactor127,21,1,20,0,0,3,0
refactor128,12,5,7,0,0,7,0
refactor129,12,5,7,0,0,7,0
refactor130,3,3,0,0,0,3,0
refactor131,97,4,94,50,3,19,2
refactor132,97,4,94,50,3,19,2
refactor133,23,3,20,0,1,2,0
refactor134,23,3,20,0,1,2,0
refactor135,2,2,0,0,0,0,0
refactor136,2,2,0,0,0,0,0
refactor137,29,2,27,0,2,5,0
refactor138,29,2,27,0,2,5,0
refactor139,19,19,0,0,2,3,0
refactor140,19,19,0,0,2,3,0
refactor141,76,7,69,0,9,18,1
refactor142,220,28,192,0,23,15,0
refactor143,32,3,31,20,4,6,0
refactor144,11,0,11,0,2,1,0
refactor145,8,8,0,0,0,8,0
refactor146,4,4,0,0,0,4,0
refactor147,2,2,0,0,0,2,0
refactor148,0,0,0,0,0,0,0
refactor149,4,4,0,0,1,3,0
refactor150,74,7,67,0,9,9,0
refactor151,73,6,67,0,9,9,0
