@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute cloneEval {refactored, unrefactored}

@data
4,0,false,true,28,12,0.75,9,94,true,4,0.1111111111111111,0.0,true,unrefactored
3,0,true,true,40,25,0.56,14,135,true,3,0.14285714285714285,0.0,true,unrefactored
12,95,true,true,71,126,0.1746031746031746,22,69,true,11,0.2777777777777778,0.0,true,unrefactored
2,0,false,true,51,56,0.6071428571428571,34,131,true,19,0.12121212121212122,0.0,true,unrefactored
4,0,true,false,38,23,1.0,23,197,true,7,0.6,0.0,false,unrefactored
6,23,true,false,25,39,1.0,39,115,false,0,0.1,0.3,false,unrefactored
2,1,true,false,148,34,1.0,34,105,false,0,0.1,0.3,false,unrefactored
37,1166,true,false,2,14,1.0,14,160,false,0,0.46153846153846156,0.0,false,unrefactored
2,0,true,true,48,127,0.3937007874015748,50,362,true,13,0.061224489795918366,0.02040816326530612,true,unrefactored
2,0,false,false,66,11,1.0,11,76,true,11,0.0,0.0,false,unrefactored
4,6,true,false,111,31,1.0,31,125,false,0,0.375,0.0,false,unrefactored
2,9,true,false,114,137,0.08759124087591241,12,102,false,0,0.0,0.0,false,unrefactored
2,11,true,false,94,14,1.0,14,66,false,0,0.4,0.0,false,unrefactored
2,0,false,true,63,232,0.16379310344827586,38,232,true,17,0.0,0.0,true,unrefactored
2,0,false,false,31,60,1.0,60,465,true,20,0.07692307692307693,0.019230769230769232,false,unrefactored
2,0,false,false,7,212,1.0,212,703,true,206,0.0,0.0,false,unrefactored
2,0,false,false,40,19,1.0,19,162,true,9,0.19047619047619047,0.0,false,unrefactored
2,0,false,false,139,44,1.0,44,332,true,9,0.0625,0.0,false,unrefactored
2,0,false,false,130,12,1.0,12,94,true,6,0.0,0.0,false,unrefactored
2,0,true,false,38,13,1.0,13,136,false,1,0.75,0.0,false,unrefactored
2,0,false,true,4,20,0.7,14,101,true,6,0.14285714285714285,0.0,true,unrefactored
5,185,false,true,55,38,0.2894736842105263,11,104,true,5,0.1,0.0,true,unrefactored
2,6,true,false,9,17,1.0,17,154,false,0,0.25,0.0,false,unrefactored
