@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
3,0,true,false,0,71,1.0,71,440,true,28,0.3,0.016666666666666666,false,false,false,false,true,2,1.0,0.10000894534394847,0.044642857142857144,3.578137579389928E-4,8.94534394847482E-5,0.01288129528580374,0.0021021558278915826,1.789068789694964E-4,0.09951695142678237,1.789068789694964E-4,1.3418015922712228E-4,1.789068789694964E-4,0,-1,-1,-1,-1,unrefactored
2,6,false,false,0,15,1.0,15,123,false,0,0.0,0.0,false,false,false,false,false,7,0.02155887230514096,0.04924411843635388,0.0,0.0,0.0,0.023302620985776904,0.006619554521871366,0.0,0.055595312639771,0.0,0.0,0.0,5,0.0,0.2,0.8,0.0,unrefactored
2,2,true,false,0,363,1.0,363,851,true,2,0.21428571428571427,0.0,false,true,true,false,true,9,1.0,0.10000894534394847,0.044642857142857144,3.1308703819661864E-4,1.789068789694964E-4,0.06650863225691028,0.01310492888451561,3.1308703819661864E-4,0.09969585830575185,0.0,3.1308703819661864E-4,0.0,238,0.0,0.0,0.004201680672268907,0.0,unrefactored
3,7,true,false,0,13,1.0,13,34,false,0,0.5,0.0,false,true,true,false,true,0,1.0,0.10000894534394847,0.03571428571428571,0.010555505859200287,0.0030414169424814383,0.05725020127023884,0.013775829680651221,0.010555505859200287,0.08945343948474818,0.0,0.0,0.010555505859200287,5,0.4,0.0,0.2,0.0,unrefactored
64,4348,true,false,0,11,1.0,11,115,false,0,0.4,0.0,false,false,false,false,true,2,1.0,0.10000894534394847,0.017857142857142856,1.789068789694964E-4,1.789068789694964E-4,0.04365327846855711,0.011763127292244387,1.789068789694964E-4,0.09974058502549422,0.0,0.0,0.0,198,0.98989898989899,0.06060606060606061,0.21212121212121213,0.04040404040404041,unrefactored
3,0,false,true,0,26,0.5384615384615384,14,125,true,4,0.0,0.14285714285714285,true,false,false,false,false,5,0.5533689281990436,0.10000894534394847,0.008928571428571428,8.94534394847482E-5,0.0,0.04611324805438769,0.010152965381518919,0.0,0.09974058502549422,2.6836031845424457E-4,0.0,0.0,11,1.0,0.0,0.0,0.0,unrefactored
3,0,true,false,0,25,1.0,25,218,true,3,0.19047619047619047,0.0,false,false,false,false,true,4,1.0,0.006351194203417122,0.0,0.0,0.0,8.945343948474819E-4,1.789068789694964E-4,0.0,0.09844351015296539,0.0012970748725288487,2.6836031845424457E-4,0.0,5,0.4,0.0,0.2,0.0,unrefactored
2,0,true,true,0,145,0.14482758620689656,21,111,true,7,0.0,0.0,true,true,true,true,false,7,1.0,0.10000894534394847,0.017857142857142856,1.789068789694964E-4,0.0,0.04168530279989265,0.00916897754718669,1.789068789694964E-4,0.09983003846497898,0.0,1.789068789694964E-4,0.0,30,0.0,0.0,0.36666666666666664,0.0,unrefactored
3,3,true,false,0,16,1.0,16,41,false,0,0.5,0.0,false,true,true,false,true,0,1.0,0.10000894534394847,0.044642857142857144,3.1308703819661864E-4,0.0,0.06114142588782539,0.014402003757044458,3.1308703819661864E-4,0.09969585830575185,0.0,0.0,3.1308703819661864E-4,7,0.2857142857142857,0.0,0.14285714285714285,0.0,unrefactored
2,1,true,false,0,57,1.0,57,262,false,1,0.5238095238095238,0.047619047619047616,false,false,false,false,true,8,1.0,0.10000894534394847,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,0.043876912067268986,0.011897307451471509,8.94534394847482E-5,0.09960640486626711,3.1308703819661864E-4,8.94534394847482E-5,0.0,56,0.0,0.08928571428571429,0.35714285714285715,0.017857142857142856,unrefactored
