@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
3,0,true,false,1.0,71,440,true,28,0.3,0.016666666666666666,false,false,false,false,true,2,1.0,0.10000894534394847,0.044642857142857144,3.578137579389928E-4,8.94534394847482E-5,0.01288129528580374,0.0021021558278915826,0,-1,-1,-1,-1,unrefactored
2,6,false,false,1.0,15,123,false,0,0.0,0.0,false,false,false,false,false,7,0.02155887230514096,0.04924411843635388,0.0,0.0,0.0,0.023302620985776904,0.006619554521871366,5,0.0,0.2,0.8,0.0,unrefactored
2,2,true,false,1.0,363,851,true,2,0.21428571428571427,0.0,false,true,true,false,true,9,1.0,0.10000894534394847,0.044642857142857144,3.1308703819661864E-4,1.789068789694964E-4,0.06650863225691028,0.01310492888451561,238,0.0,0.0,0.004201680672268907,0.0,unrefactored
3,7,true,false,1.0,13,34,false,0,0.5,0.0,false,true,true,false,true,0,1.0,0.10000894534394847,0.03571428571428571,0.010555505859200287,0.0030414169424814383,0.05725020127023884,0.013775829680651221,5,0.4,0.0,0.2,0.0,unrefactored
64,4348,true,false,1.0,11,115,false,0,0.4,0.0,false,false,false,false,true,2,1.0,0.10000894534394847,0.017857142857142856,1.789068789694964E-4,1.789068789694964E-4,0.04365327846855711,0.011763127292244387,198,0.98989898989899,0.06060606060606061,0.21212121212121213,0.04040404040404041,unrefactored
3,0,false,true,0.5384615384615384,14,125,true,4,0.0,0.14285714285714285,true,false,false,false,false,5,0.5533689281990436,0.10000894534394847,0.008928571428571428,8.94534394847482E-5,0.0,0.04611324805438769,0.010152965381518919,11,1.0,0.0,0.0,0.0,unrefactored
3,0,true,false,1.0,25,218,true,3,0.19047619047619047,0.0,false,false,false,false,true,4,1.0,0.006351194203417122,0.0,0.0,0.0,8.945343948474819E-4,1.789068789694964E-4,5,0.4,0.0,0.2,0.0,unrefactored
2,0,true,true,0.14482758620689656,21,111,true,7,0.0,0.0,true,true,true,true,false,7,1.0,0.10000894534394847,0.017857142857142856,1.789068789694964E-4,0.0,0.04168530279989265,0.00916897754718669,30,0.0,0.0,0.36666666666666664,0.0,unrefactored
3,3,true,false,1.0,16,41,false,0,0.5,0.0,false,true,true,false,true,0,1.0,0.10000894534394847,0.044642857142857144,3.1308703819661864E-4,0.0,0.06114142588782539,0.014402003757044458,7,0.2857142857142857,0.0,0.14285714285714285,0.0,unrefactored
2,1,true,false,1.0,57,262,false,1,0.5238095238095238,0.047619047619047616,false,false,false,false,true,8,1.0,0.10000894534394847,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,0.043876912067268986,0.011897307451471509,56,0.0,0.08928571428571429,0.35714285714285715,0.017857142857142856,unrefactored
2,0,false,false,1.0,63,466,true,24,0.0784313725490196,0.0,false,false,false,false,false,5,0.03436988543371522,0.10000894534394847,0.017857142857142856,1.789068789694964E-4,4.47267197423741E-5,0.04902048483764201,0.011897307451471509,0,-1,-1,-1,-1,unrefactored
4,10,true,false,1.0,29,68,false,0,0.5,0.0,false,true,true,false,true,0,1.0,0.10000894534394847,0.026785714285714284,2.6836031845424457E-4,4.47267197423741E-5,0.05546113248054388,0.015251811432149567,13,0.9230769230769231,0.0,0.07692307692307693,0.0,unrefactored
2,0,true,false,1.0,49,219,true,17,0.0967741935483871,0.0,false,true,true,true,true,9,1.0,0.10000894534394847,0.0,0.0,0.0,0.04588961445567582,0.010868592897396905,25,0.0,0.0,0.56,0.04,unrefactored
2,0,false,false,1.0,13,118,true,3,0.09090909090909091,0.09090909090909091,false,false,false,false,true,2,1.0,0.06820824760712049,0.0,0.0,0.0,0.02643349136774309,0.005948653725735754,0,-1,-1,-1,-1,unrefactored
3,3,true,false,1.0,57,279,false,1,0.3684210526315789,0.05263157894736842,false,true,true,false,true,7,1.0,0.10000894534394847,0.044642857142857144,3.578137579389928E-4,4.47267197423741E-5,0.02339207442526165,0.005054119330888273,29,0.6551724137931034,0.0,0.3448275862068966,0.0,unrefactored
8,376,true,false,1.0,28,46,false,0,0.5,0.0,false,true,true,false,true,0,1.0,0.09853296359245013,0.026785714285714284,1.3418015922712228E-4,4.47267197423741E-5,0.045039806780570714,0.011628947133017264,7,0.7142857142857143,0.0,0.14285714285714285,0.0,unrefactored
2,0,true,true,0.06748466257668712,11,96,true,3,0.09090909090909091,0.0,true,true,true,true,false,8,1.0,0.10000894534394847,0.03571428571428571,8.050809553627337E-4,8.94534394847482E-5,0.057831648626889706,0.017219787100814028,20,0.0,0.1,0.2,0.0,unrefactored
2,3,true,false,1.0,35,76,false,0,0.5,0.0,false,false,false,false,true,0,1.0,0.10000894534394847,0.08035714285714286,0.0010287145540746041,2.2363359871187046E-4,0.053940424009303156,0.013015475445030861,47,0.0,0.0,0.02127659574468085,0.0,unrefactored
2,0,true,false,1.0,35,341,false,0,0.46875,0.0,false,false,false,false,true,4,1.0,0.10000894534394847,0.044642857142857144,0.0013418015922712228,2.2363359871187046E-4,0.04365327846855711,0.011763127292244387,4,0.0,0.0,0.25,0.0,unrefactored
3,0,true,false,1.0,32,239,true,2,0.3076923076923077,0.038461538461538464,false,false,false,false,true,2,1.0,0.07867430002683604,0.03571428571428571,2.2363359871187046E-4,8.94534394847482E-5,0.009750424903837552,0.001386528312013597,0,-1,-1,-1,-1,unrefactored
2,0,false,false,1.0,21,83,true,4,0.1111111111111111,0.0,false,false,false,false,false,4,0.0761904761904762,0.10000894534394847,0.026785714285714284,0.0010287145540746041,4.0254047768136685E-4,0.04351909830932999,0.010152965381518919,29,0.0,0.0,0.13793103448275862,0.0,unrefactored
5,22,true,false,1.0,12,91,false,0,0.09090909090909091,0.0,false,true,true,false,true,3,1.0,0.10000894534394847,0.026785714285714284,0.0012076214330441004,3.578137579389928E-4,0.04083549512478755,0.009571518024868057,51,0.803921568627451,0.0,0.43137254901960786,0.0,unrefactored
2,12,true,false,1.0,24,198,true,11,0.0,0.0,false,true,true,false,false,6,1.0,0.10000894534394847,0.03571428571428571,0.0016101619107254674,1.3418015922712228E-4,0.04978083907326237,0.011673673852759638,5,0.0,0.2,0.2,0.0,unrefactored
