@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
5,33,true,false,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,0.005729720880739952,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,0.0029876401735286894,6.957518212327086E-4,4,0.0,0.75,0.25,0.0,refactored
5,33,true,false,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,0.005729720880739952,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,0.0029876401735286894,6.957518212327086E-4,4,0.0,0.75,0.25,0.0,refactored
5,33,true,false,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,0.005729720880739952,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,0.0029876401735286894,6.957518212327086E-4,4,0.0,0.75,0.25,0.0,refactored
2,0,true,true,0.23684210526315788,9,111,true,1,0.0,0.0,true,true,true,true,false,8,1.0,0.0035196856838831136,0.0056179775280898875,4.092657771957109E-5,0.0,0.001841695997380699,6.138986657935663E-4,24,0.0,0.08333333333333333,0.25,0.0,refactored
2,5,true,false,1.0,31,234,true,9,0.2,0.0,false,true,true,false,false,4,1.0,0.019317344683637553,0.028089887640449437,0.0029876401735286894,6.548252435131374E-4,0.011132029139723337,0.002701154129491692,2,0.0,0.0,1.0,0.0,refactored
2,2,true,true,0.02824858757062147,10,83,true,3,0.0,0.0,true,true,true,false,false,7,1.0,0.017475648686256857,0.011235955056179775,1.2277973315871326E-4,8.185315543914218E-5,0.006834738479168372,0.0025374478186134075,3,0.0,0.0,0.0,0.0,refactored
3,18,true,false,1.0,13,77,true,5,0.2,0.0,false,true,true,false,false,1,1.0,0.018908078906441843,0.016853932584269662,0.0013096504870262749,4.91118932634853E-4,0.007407710567242367,0.002742080707211263,3,0.0,0.0,1.0,0.0,refactored
2,12,true,false,1.0,22,154,true,11,0.0,0.0,false,true,true,false,false,1,1.0,0.020995334370139968,0.016853932584269662,0.0016370631087828436,4.50192354915282E-4,0.008430875010231645,0.0027830072849308342,4,0.0,0.25,0.25,0.0,refactored
2,6,true,false,1.0,45,238,true,7,0.4117647058823529,0.0,false,true,true,false,false,6,1.0,0.041867889007121226,0.03932584269662921,0.0037652451502005403,0.0010231644429892772,0.017966767618891707,0.004747483015470246,13,0.0,0.0,0.46153846153846156,0.07692307692307693,refactored
2,9,true,false,1.0,18,128,false,11,0.11764705882352941,0.0,false,false,false,false,false,-1,1.0,0.001432430220184988,0.0056179775280898875,4.092657771957109E-5,0.0,7.776049766718507E-4,1.6370631087828436E-4,1,0.0,0.0,1.0,0.0,refactored
4,37,true,false,0.9444444444444444,17,126,true,4,0.2,0.0,false,true,true,false,false,3,1.0,0.10002455594663175,0.033707865168539325,0.0030285667512482605,0.0011868707538675615,0.04297290660554964,0.01125480887288205,56,0.625,0.08928571428571429,0.2857142857142857,0.017857142857142856,refactored
4,36,true,false,1.0,20,134,true,6,0.05555555555555555,0.1111111111111111,false,true,true,false,false,8,1.0,0.09449946795448964,0.0056179775280898875,2.0463288859785546E-4,4.092657771957109E-5,0.04489645575836949,0.012155193582712614,49,0.5510204081632653,0.0,0.3469387755102041,0.0,refactored
2,0,true,false,1.0,20,172,true,5,0.07692307692307693,0.0,false,true,true,true,false,5,1.0,0.019358271261357127,0.0056179775280898875,1.2277973315871326E-4,4.092657771957109E-5,0.01125480887288205,0.0026193009740525497,26,0.0,0.0,0.5,0.0,refactored
2,5,true,false,1.0,44,383,true,6,0.20689655172413793,0.06896551724137931,false,true,true,false,false,3,1.0,0.008471801587951215,0.0056179775280898875,2.0463288859785546E-4,1.6370631087828436E-4,0.0027830072849308342,8.594581321109928E-4,12,0.0,0.0,0.16666666666666666,0.0,refactored
2,5,true,true,0.18181818181818182,8,117,true,2,0.0,0.3333333333333333,true,true,true,false,false,2,1.0,0.008471801587951215,0.0056179775280898875,2.0463288859785546E-4,1.6370631087828436E-4,0.0027830072849308342,8.594581321109928E-4,0,-1,-1,-1,-1,refactored
2,0,true,false,0.9411764705882353,16,167,true,5,0.07142857142857142,0.0,false,true,true,true,false,9,1.0,8.185315543914218E-5,0.0056179775280898875,4.092657771957109E-5,4.092657771957109E-5,8.185315543914218E-5,4.092657771957109E-5,16,0.0,0.0625,0.25,0.0625,refactored
2,0,true,false,0.9411764705882353,16,167,true,5,0.07142857142857142,0.0,false,true,true,true,false,9,1.0,8.185315543914218E-5,0.0056179775280898875,4.092657771957109E-5,4.092657771957109E-5,8.185315543914218E-5,4.092657771957109E-5,16,0.0,0.0625,0.25,0.0625,refactored
2,0,true,false,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,8.185315543914218E-5,0.0056179775280898875,4.092657771957109E-5,4.092657771957109E-5,8.185315543914218E-5,4.092657771957109E-5,16,0.0,0.0625,0.25,0.0625,refactored
2,0,true,false,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,8.185315543914218E-5,0.0056179775280898875,4.092657771957109E-5,4.092657771957109E-5,8.185315543914218E-5,4.092657771957109E-5,16,0.0,0.0625,0.25,0.0625,refactored
2,0,true,false,1.0,12,82,true,3,0.125,0.0,false,true,true,true,false,2,1.0,0.06867479741344029,0.011235955056179775,7.366783989522796E-4,2.0463288859785546E-4,0.030490300401080462,0.007203077678644512,7,0.0,0.0,0.2857142857142857,0.0,refactored
5,0,true,false,1.0,20,156,true,9,0.0625,0.0,false,true,true,true,false,3,1.0,0.06867479741344029,0.011235955056179775,7.366783989522796E-4,2.0463288859785546E-4,0.030490300401080462,0.007203077678644512,25,0.56,0.0,0.24,0.0,refactored
2,2,true,false,0.9714285714285714,34,304,true,9,0.08,0.0,false,true,true,false,false,4,1.0,0.10002455594663175,0.02247191011235955,8.185315543914218E-4,2.0463288859785546E-4,0.03736596545796841,0.006302692968813948,4,0.0,0.0,0.25,0.0,refactored
2,8,true,false,1.0,41,236,true,11,0.12903225806451613,0.0,false,true,true,false,false,9,1.0,0.10002455594663175,0.016853932584269662,2.0463288859785546E-4,0.0,0.034746664483915855,0.007653270033559794,72,0.0,0.0,0.375,0.013888888888888888,refactored
4,41,true,false,1.0,14,137,true,5,0.07142857142857142,0.0,false,false,false,false,false,1,1.0,0.10002455594663175,0.033707865168539325,0.002373741507735123,6.138986657935663E-4,0.035565196038307274,0.011745927805516903,33,0.6363636363636364,0.030303030303030304,0.30303030303030304,0.06060606060606061,refactored
2,4,true,false,0.5714285714285714,8,81,true,3,0.0,0.0,false,true,true,false,false,9,1.0,0.025087992142097077,0.011235955056179775,1.6370631087828436E-4,0.0,0.011950560694114758,0.003928951461078824,0,-1,-1,-1,-1,refactored
2,4,true,false,0.5714285714285714,8,77,true,3,0.0,0.0,false,true,true,false,false,8,1.0,0.025087992142097077,0.011235955056179775,1.6370631087828436E-4,0.0,0.011950560694114758,0.003928951461078824,0,-1,-1,-1,-1,refactored
2,4,true,false,0.5714285714285714,8,73,true,3,0.0,0.0,false,true,true,false,false,7,1.0,0.025087992142097077,0.011235955056179775,1.6370631087828436E-4,0.0,0.011950560694114758,0.003928951461078824,0,-1,-1,-1,-1,refactored
2,4,true,false,1.0,14,132,true,7,0.0,0.0,false,true,true,false,false,3,1.0,0.025087992142097077,0.011235955056179775,1.6370631087828436E-4,0.0,0.011950560694114758,0.003928951461078824,10,0.0,0.1,0.2,0.0,refactored
2,4,true,false,1.0,14,125,true,7,0.0,0.0,false,true,true,false,false,3,1.0,0.025087992142097077,0.011235955056179775,1.6370631087828436E-4,0.0,0.011950560694114758,0.003928951461078824,10,0.0,0.1,0.2,0.0,refactored
2,4,true,false,1.0,14,120,true,7,0.0,0.0,false,true,true,false,false,3,1.0,0.025087992142097077,0.011235955056179775,1.6370631087828436E-4,0.0,0.011950560694114758,0.003928951461078824,10,0.0,0.1,0.2,0.0,refactored
2,4,true,false,1.0,14,111,true,7,0.0,0.0,false,true,true,false,false,3,1.0,0.025087992142097077,0.011235955056179775,1.6370631087828436E-4,0.0,0.011950560694114758,0.003928951461078824,10,0.0,0.1,0.2,0.0,refactored
2,4,true,false,1.0,14,118,true,7,0.0,0.0,false,true,true,false,false,3,1.0,0.025087992142097077,0.011235955056179775,1.6370631087828436E-4,0.0,0.011950560694114758,0.003928951461078824,14,0.0,0.07142857142857142,0.14285714285714285,0.0,refactored
2,2,true,false,0.9166666666666666,11,115,true,2,0.2,0.0,false,true,true,false,false,4,1.0,0.0792747810428092,0.0056179775280898875,0.0011459441761479906,1.6370631087828436E-4,0.04035360563149709,0.011009249406564623,5,0.0,0.2,0.2,0.0,refactored
2,4,true,false,0.9615384615384616,25,241,true,10,0.0,0.0,false,true,true,false,false,2,1.0,0.10002455594663175,0.016853932584269662,1.6370631087828436E-4,8.185315543914218E-5,0.041499549807645086,0.011909634116395187,63,0.0,0.14285714285714285,0.25396825396825395,0.031746031746031744,refactored
4,63,false,false,1.0,16,129,true,5,0.14285714285714285,0.0,false,false,false,false,false,3,1.0,0.04653351886715233,0.0056179775280898875,2.0463288859785546E-4,8.185315543914218E-5,0.026725055250879922,0.005934353769337808,43,0.627906976744186,0.11627906976744186,0.3023255813953488,0.0,refactored
2,6,true,false,0.9523809523809523,20,180,true,6,0.0625,0.0,false,true,true,false,false,5,1.0,0.10002455594663175,0.02247191011235955,5.729720880739953E-4,3.683391994761398E-4,0.042686420561512645,0.00822624212163379,20,0.0,0.15,0.3,0.05,refactored
2,13,true,false,1.0,23,126,true,10,0.0,0.0,false,true,true,false,false,3,1.0,0.10002455594663175,0.02247191011235955,0.0010231644429892772,4.91118932634853E-4,0.04338217238274535,0.00789882949987722,18,0.0,0.1111111111111111,0.3333333333333333,0.05555555555555555,refactored
2,8,true,false,1.0,18,182,true,4,0.13333333333333333,0.0,false,true,true,false,false,0,1.0,0.10002455594663175,0.0056179775280898875,2.8648604403699765E-4,4.092657771957109E-5,0.03728411230252926,0.005934353769337808,19,0.0,0.0,0.47368421052631576,0.05263157894736842,refactored
2,8,true,true,0.5,9,98,true,3,0.2222222222222222,0.0,true,true,true,false,false,3,1.0,0.10002455594663175,0.0056179775280898875,2.8648604403699765E-4,4.092657771957109E-5,0.03728411230252926,0.005934353769337808,0,-1,-1,-1,-1,refactored
2,17,true,true,0.6296296296296297,51,304,true,14,0.12121212121212122,0.0,true,true,true,false,false,15,1.0,0.10002455594663175,0.028089887640449437,0.0013096504870262749,5.320455103544242E-4,0.03703855283621184,0.007612343455840223,60,0.0,0.11666666666666667,0.16666666666666666,0.016666666666666666,refactored
2,3,true,true,0.5714285714285714,12,99,true,4,0.0,0.0,true,true,true,false,false,6,1.0,0.10002455594663175,0.03932584269662921,9.00384709830564E-4,3.683391994761398E-4,0.026397642629123353,0.005975280347057379,12,0.0,0.16666666666666666,0.08333333333333333,0.0,refactored
2,2,true,false,1.0,33,262,true,4,0.47368421052631576,0.05263157894736842,false,true,true,false,false,4,1.0,0.10002455594663175,0.011235955056179775,2.455594663174265E-4,4.092657771957109E-5,0.025660964230171075,0.0052386019481050995,7,0.0,0.0,0.14285714285714285,0.0,refactored
2,0,true,true,0.27941176470588236,19,130,true,7,0.125,0.0,true,true,true,true,false,4,1.0,0.10002455594663175,0.056179775280898875,0.0017598428419415568,2.455594663174265E-4,0.024515020054023083,0.005197675370385528,14,0.0,0.07142857142857142,0.35714285714285715,0.0,refactored
2,0,true,false,0.20588235294117646,14,97,true,4,0.18181818181818182,0.0,false,true,true,true,false,4,1.0,0.10002455594663175,0.056179775280898875,0.0017598428419415568,2.455594663174265E-4,0.024515020054023083,0.005197675370385528,0,-1,-1,-1,-1,refactored
2,0,true,false,1.0,14,79,true,7,0.0,0.0,false,false,false,false,false,2,1.0,0.011705001227797331,0.0,0.0,0.0,0.0039698780387983955,6.548252435131374E-4,3,0.0,0.0,1.0,0.0,refactored
2,0,true,false,1.0,14,79,true,7,0.0,0.0,false,false,false,false,false,2,1.0,0.011705001227797331,0.0,0.0,0.0,0.0039698780387983955,6.548252435131374E-4,3,0.0,0.0,1.0,0.0,refactored
2,3,true,false,1.0,13,89,true,6,0.0,0.0,false,true,true,false,false,2,1.0,0.10002455594663175,0.033707865168539325,5.729720880739953E-4,1.2277973315871326E-4,0.026847834984038636,0.006998444790046656,11,0.0,0.0,0.2727272727272727,0.0,refactored
2,3,true,true,0.6923076923076923,9,59,true,5,0.0,0.0,true,true,true,false,false,3,1.0,0.10002455594663175,0.033707865168539325,5.729720880739953E-4,1.2277973315871326E-4,0.026847834984038636,0.006998444790046656,6,0.0,0.0,0.3333333333333333,0.0,refactored
7,174,true,false,0.5925925925925926,16,98,true,4,0.14285714285714285,0.0,false,true,true,false,false,4,1.0,0.10002455594663175,0.02247191011235955,5.729720880739953E-4,1.2277973315871326E-4,0.02291888352295981,0.007325857411803225,126,0.5873015873015873,0.05555555555555555,0.1746031746031746,0.0,refactored
