@relation cloneEval

@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute cloneEval {refactored, unrefactored}

@data
33,true,false,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,0.005729720880739952,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,0.0029876401735286894,6.957518212327086E-4,1.2277973315871326E-4,0.00560694114758124,0.0,0.0,0.0,refactored
33,true,false,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,0.005729720880739952,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,0.0029876401735286894,6.957518212327086E-4,1.2277973315871326E-4,0.00560694114758124,0.0,0.0,0.0,refactored
33,true,false,1.0,11,102,true,7,0.0,0.0,false,true,true,false,false,2,1.0,0.005729720880739952,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,0.0029876401735286894,6.957518212327086E-4,1.2277973315871326E-4,0.00560694114758124,0.0,0.0,0.0,refactored
0,true,true,0.23684210526315788,9,111,true,1,0.0,0.0,true,true,true,true,false,8,1.0,0.0035196856838831136,0.0056179775280898875,4.092657771957109E-5,0.0,0.001841695997380699,6.138986657935663E-4,4.092657771957109E-5,0.0034787591061635425,0.0,4.092657771957109E-5,0.0,refactored
5,true,false,1.0,31,234,true,9,0.2,0.0,false,true,true,false,false,4,1.0,0.019317344683637553,0.028089887640449437,0.0029876401735286894,6.548252435131374E-4,0.011132029139723337,0.002701154129491692,0.0029876401735286894,0.016329704510108865,0.0,0.0029876401735286894,0.0,refactored
2,true,true,0.02824858757062147,10,83,true,3,0.0,0.0,true,true,true,false,false,7,1.0,0.017475648686256857,0.011235955056179775,1.2277973315871326E-4,8.185315543914218E-5,0.006834738479168372,0.0025374478186134075,1.2277973315871326E-4,0.017352868953098143,0.0,1.2277973315871326E-4,0.0,refactored
18,true,false,1.0,13,77,true,5,0.2,0.0,false,true,true,false,false,1,1.0,0.018908078906441843,0.016853932584269662,0.0013096504870262749,4.91118932634853E-4,0.007407710567242367,0.002742080707211263,0.0013096504870262749,0.017598428419415568,0.0,0.0,0.0013096504870262749,refactored
12,true,false,1.0,22,154,true,11,0.0,0.0,false,true,true,false,false,1,1.0,0.020995334370139968,0.016853932584269662,0.0016370631087828436,4.50192354915282E-4,0.008430875010231645,0.0027830072849308342,0.0016370631087828436,0.019358271261357127,0.0,0.0016370631087828436,0.0,refactored
6,true,false,1.0,45,238,true,7,0.4117647058823529,0.0,false,true,true,false,false,6,1.0,0.041867889007121226,0.03932584269662921,0.0037652451502005403,0.0010231644429892772,0.017966767618891707,0.004747483015470246,0.0037652451502005403,0.038102643856920686,0.0,0.0037652451502005403,0.0,refactored
9,true,false,1.0,18,128,false,11,0.11764705882352941,0.0,false,false,false,false,false,-1,1.0,0.001432430220184988,0.0056179775280898875,4.092657771957109E-5,0.0,7.776049766718507E-4,1.6370631087828436E-4,4.092657771957109E-5,0.0013915036424654171,0.0,4.092657771957109E-5,0.0,refactored
37,true,false,0.9444444444444444,17,126,true,4,0.2,0.0,false,true,true,false,false,3,1.0,0.10002455594663175,0.033707865168539325,0.0030285667512482605,0.0011868707538675615,0.04297290660554964,0.01125480887288205,0.0030285667512482605,0.09699598919538348,0.0,0.0,0.0,refactored
36,true,false,1.0,20,134,true,6,0.05555555555555555,0.1111111111111111,false,true,true,false,false,8,1.0,0.09449946795448964,0.0056179775280898875,2.0463288859785546E-4,4.092657771957109E-5,0.04489645575836949,0.012155193582712614,2.0463288859785546E-4,0.09429483506589179,0.0,0.0,0.0,refactored
0,true,false,1.0,20,172,true,5,0.07692307692307693,0.0,false,true,true,true,false,5,1.0,0.019358271261357127,0.0056179775280898875,1.2277973315871326E-4,4.092657771957109E-5,0.01125480887288205,0.0026193009740525497,1.2277973315871326E-4,0.019235491528198412,0.0,1.2277973315871326E-4,0.0,refactored
5,true,false,1.0,44,383,true,6,0.20689655172413793,0.06896551724137931,false,true,true,false,false,3,1.0,0.008471801587951215,0.0056179775280898875,2.0463288859785546E-4,1.6370631087828436E-4,0.0027830072849308342,8.594581321109928E-4,2.0463288859785546E-4,0.00826716869935336,0.0,2.0463288859785546E-4,0.0,refactored
5,true,true,0.18181818181818182,8,117,true,2,0.0,0.3333333333333333,true,true,true,false,false,2,1.0,0.008471801587951215,0.0056179775280898875,2.0463288859785546E-4,1.6370631087828436E-4,0.0027830072849308342,8.594581321109928E-4,2.0463288859785546E-4,0.00826716869935336,0.0,2.0463288859785546E-4,0.0,refactored
0,true,false,0.9411764705882353,16,167,true,5,0.07142857142857142,0.0,false,true,true,true,false,9,1.0,8.185315543914218E-5,0.0056179775280898875,4.092657771957109E-5,4.092657771957109E-5,8.185315543914218E-5,4.092657771957109E-5,4.092657771957109E-5,4.092657771957109E-5,0.0,4.092657771957109E-5,0.0,refactored
0,true,false,0.9411764705882353,16,167,true,5,0.07142857142857142,0.0,false,true,true,true,false,9,1.0,8.185315543914218E-5,0.0056179775280898875,4.092657771957109E-5,4.092657771957109E-5,8.185315543914218E-5,4.092657771957109E-5,4.092657771957109E-5,4.092657771957109E-5,0.0,4.092657771957109E-5,0.0,refactored
0,true,false,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,8.185315543914218E-5,0.0056179775280898875,4.092657771957109E-5,4.092657771957109E-5,8.185315543914218E-5,4.092657771957109E-5,4.092657771957109E-5,4.092657771957109E-5,0.0,4.092657771957109E-5,0.0,refactored
0,true,false,0.9090909090909091,10,108,true,4,0.1111111111111111,0.0,false,true,true,true,false,8,1.0,8.185315543914218E-5,0.0056179775280898875,4.092657771957109E-5,4.092657771957109E-5,8.185315543914218E-5,4.092657771957109E-5,4.092657771957109E-5,4.092657771957109E-5,0.0,4.092657771957109E-5,0.0,refactored
0,true,false,1.0,12,82,true,3,0.125,0.0,false,true,true,true,false,2,1.0,0.06867479741344029,0.011235955056179775,7.366783989522796E-4,2.0463288859785546E-4,0.030490300401080462,0.007203077678644512,7.366783989522796E-4,0.06793811901448801,0.0,7.366783989522796E-4,0.0,refactored
0,true,false,1.0,20,156,true,9,0.0625,0.0,false,true,true,true,false,3,1.0,0.06867479741344029,0.011235955056179775,7.366783989522796E-4,2.0463288859785546E-4,0.030490300401080462,0.007203077678644512,7.366783989522796E-4,0.06793811901448801,0.0,0.0,0.0,refactored
2,true,false,0.9714285714285714,34,304,true,9,0.08,0.0,false,true,true,false,false,4,1.0,0.10002455594663175,0.02247191011235955,8.185315543914218E-4,2.0463288859785546E-4,0.03736596545796841,0.006302692968813948,8.185315543914218E-4,0.09920602439224033,0.0,8.185315543914218E-4,0.0,refactored
8,true,false,1.0,41,236,true,11,0.12903225806451613,0.0,false,true,true,false,false,9,1.0,0.10002455594663175,0.016853932584269662,2.0463288859785546E-4,0.0,0.034746664483915855,0.007653270033559794,2.0463288859785546E-4,0.09981992305803389,0.0,2.0463288859785546E-4,0.0,refactored
41,true,false,1.0,14,137,true,5,0.07142857142857142,0.0,false,false,false,false,false,1,1.0,0.10002455594663175,0.033707865168539325,0.002373741507735123,6.138986657935663E-4,0.035565196038307274,0.011745927805516903,0.0,0.09765081443889662,0.002373741507735123,0.0,0.0,refactored
4,true,false,0.5714285714285714,8,81,true,3,0.0,0.0,false,true,true,false,false,9,1.0,0.025087992142097077,0.011235955056179775,1.6370631087828436E-4,0.0,0.011950560694114758,0.003928951461078824,1.6370631087828436E-4,0.024924285831218793,0.0,1.6370631087828436E-4,0.0,refactored
