@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numParaMultiset real
@attribute numGappedMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,true,0,202,0.24257425742574257,49,421,true,20,0.09302325581395349,0.11627906976744186,false,true,true,true,false,6,1.0,6.957518212327086E-4,0.0056179775280898875,8.185315543914218E-5,8.185315543914218E-5,3.683391994761398E-4,1.6370631087828436E-4,8.185315543914218E-5,6.138986657935663E-4,0.0,8.185315543914218E-5,0.0,87,4,83,0,9,10,0,refactored
2,0,true,true,0,202,0.24257425742574257,49,421,true,20,0.09302325581395349,0.11627906976744186,false,true,true,true,false,6,1.0,6.957518212327086E-4,0.0056179775280898875,8.185315543914218E-5,8.185315543914218E-5,3.683391994761398E-4,1.6370631087828436E-4,8.185315543914218E-5,6.138986657935663E-4,0.0,8.185315543914218E-5,0.0,87,4,83,0,9,10,0,refactored
2,0,true,true,0,202,0.24257425742574257,49,421,true,20,0.09302325581395349,0.11627906976744186,false,true,true,true,false,6,1.0,9.00384709830564E-4,0.0056179775280898875,8.185315543914218E-5,4.092657771957109E-5,3.683391994761398E-4,4.092657771957109E-5,8.185315543914218E-5,8.185315543914218E-4,0.0,8.185315543914218E-5,0.0,87,4,83,0,9,10,0,refactored
2,0,true,true,0,136,0.14705882352941177,20,177,true,3,0.2,0.0,false,true,true,true,false,5,1.0,9.413112875501351E-4,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,4.092657771957109E-4,4.092657771957109E-5,1.2277973315871326E-4,8.185315543914218E-4,0.0,1.2277973315871326E-4,0.0,13,5,8,0,2,2,0,refactored
2,0,true,true,0,136,0.14705882352941177,20,177,true,3,0.2,0.0,false,true,true,true,false,5,1.0,9.413112875501351E-4,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,4.092657771957109E-4,4.092657771957109E-5,1.2277973315871326E-4,8.185315543914218E-4,0.0,1.2277973315871326E-4,0.0,13,5,8,0,2,2,0,refactored
2,0,true,true,0,136,0.0661764705882353,9,82,true,2,0.2857142857142857,0.0,false,true,true,true,false,6,1.0,9.413112875501351E-4,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,4.092657771957109E-4,4.092657771957109E-5,1.2277973315871326E-4,8.185315543914218E-4,0.0,1.2277973315871326E-4,0.0,5,3,2,0,1,1,0,refactored
2,0,true,true,0,136,0.0661764705882353,9,82,true,2,0.2857142857142857,0.0,false,true,true,true,false,6,1.0,9.413112875501351E-4,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,4.092657771957109E-4,4.092657771957109E-5,1.2277973315871326E-4,8.185315543914218E-4,0.0,1.2277973315871326E-4,0.0,5,3,2,0,1,1,0,refactored
2,0,true,true,0,136,0.0661764705882353,9,82,true,2,0.2857142857142857,0.0,false,true,true,true,false,6,1.0,9.413112875501351E-4,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,4.092657771957109E-4,4.092657771957109E-5,1.2277973315871326E-4,8.185315543914218E-4,0.0,1.2277973315871326E-4,0.0,5,3,2,0,1,1,0,refactored
2,0,true,true,0,136,0.0661764705882353,9,82,true,2,0.2857142857142857,0.0,false,true,true,true,false,6,1.0,9.413112875501351E-4,0.011235955056179775,1.2277973315871326E-4,4.092657771957109E-5,4.092657771957109E-4,4.092657771957109E-5,1.2277973315871326E-4,8.185315543914218E-4,0.0,1.2277973315871326E-4,0.0,5,3,2,0,1,1,0,refactored
3,0,true,true,0,38,0.23684210526315788,9,111,true,1,0.0,0.0,true,true,true,true,false,8,1.0,0.003642465417041827,0.0056179775280898875,8.185315543914218E-5,4.092657771957109E-5,0.0018826225751002702,6.138986657935663E-4,8.185315543914218E-5,0.0035606122616026847,0.0,0.0,8.185315543914218E-5,51,8,49,19,5,7,0,refactored
2,0,true,true,0,57,0.15789473684210525,9,102,true,2,0.0,0.0,true,true,true,true,false,4,1.0,0.011295735450601621,0.016853932584269662,8.594581321109928E-4,8.185315543914218E-5,0.005975280347057379,0.0016370631087828436,8.594581321109928E-4,0.010436277318490627,0.0,8.594581321109928E-4,0.0,32,5,27,0,3,10,1,refactored
